method,comparator,horizon,movies,mean_rmse_delta_comparator_minus_method,delta_ci_low,delta_ci_high,relative_gain_percent,method_better_movies,exact_two_sided_sign_flip_p,confirmatory,hypothesis_id,multiplicity_family,statistical_unit,holm_adjusted_p,reject_at_0_05
v166_h1_strict,displacement_kf_cv,2,6,0.9275616530287064,0.8240757713944209,1.0431648863761276,17.532996861497065,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,gru_track,2,6,0.6079034001007143,0.5472974883247983,0.6750716726653397,12.191596651135297,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,hgbdt_v52,2,6,0.4548987537994446,0.41343852057102676,0.4963589870278624,9.433743587668829,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,kalmannet,2,6,1.035907558968444,0.9633578993878406,1.110960919319148,19.268571414875076,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_imm,2,6,1.1216497941521602,1.007090114641132,1.2515132803757576,20.45905628115953,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_ca,2,6,1.9037066820966995,1.7221270001050455,2.0664674146164894,30.2936555305704,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_cv,2,6,1.2100701057620642,1.1266327805051775,1.2984564651102566,21.73091044879219,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_no_update,2,6,0.3057158971961655,0.2615206998346617,0.3478162965612778,6.5766363645351325,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_seed_mean,2,6,0.3426947849036384,0.2951413537171217,0.3874994640578076,7.308859759116107,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_ca,2,6,2.0960507118411655,1.9721991828038927,2.2388861472233845,32.41569050544935,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_cv,2,6,1.3321339014875686,1.2438352280316805,1.4225502741656004,23.397879144389282,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,constant_velocity,4,6,0.21333649102880767,0.02085366382988359,0.43262188979352034,3.6299406483495162,4,0.1875,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_ca,4,6,2.2738015089833166,1.9970197282934936,2.580898168809409,28.45872350339148,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_cv,4,6,1.428563300212564,1.1131608846281524,1.7885718299744446,19.900930482339778,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,gru_track,4,6,1.2282248306012902,0.9977465689076701,1.491360042367113,17.514639169234307,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,hgbdt_v52,4,6,1.126953863541625,0.9679308759582294,1.2988854970752877,16.425635459472357,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,kalmannet,4,6,1.739622483757147,1.5115486909688194,1.9482755232686786,23.42522162882113,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_imm,4,6,1.727280242681843,1.433752413838561,2.05804146684126,23.190522180142818,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_ca,4,6,1.5498860115213613,1.1744072705269788,1.9341143504472171,21.1339926782402,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_cv,4,6,2.1048053338531076,1.8613549684767527,2.364877339526643,26.928044586874844,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_no_update,4,6,0.746470942268108,0.6150468362075294,0.8743863062416048,11.6358906942337,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_seed_mean,4,6,0.8293693563411719,0.6974664913428367,0.9560077728037683,12.753606393587665,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_ca,4,6,1.85511249645585,1.5795056725135528,2.129849428559925,24.45281494674894,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_cv,4,6,2.2854859267079255,2.0359821725046228,2.5425873958315752,28.5684680527518,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,constant_velocity,6,6,-0.12771916115622547,-0.45255672573377215,0.2212844897745705,-1.9386464309619722,2,0.5,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_ca,6,6,1.8614628342356199,1.4295598223081065,2.3303218890665627,21.51933979452328,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_cv,6,6,1.568193994717391,1.1075708895421694,2.0749213493132213,18.60764101536013,6,0.03125,False,,exploratory,movie,,False
