operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h1_strict,wrong_cell,2,6,4.817362820010341,0.5125727878786009,6.812779834930524,0.7082427777176171,-2.736298581111011,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,real_update_every_1,4,6,5.733410335143067,0.7150817835279705,8.108266654609398,0.872190621263004,11.6358906942337,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_1,4,6,5.733410335143067,0.7150817835279705,8.108266654609398,0.872190621263004,11.6358906942337,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_0.5px,4,6,5.742452407450319,0.7069344848620418,8.121054075898272,0.8717785862048905,11.48381110602483,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_1px,4,6,5.790829630240065,0.6728590095169036,8.189469800477475,0.8695778503826874,10.67929245658114,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.1,4,6,5.807660188650318,0.709717552352234,8.213271804443567,0.8688986575454091,10.478781450284217,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.2,4,6,5.882207770752399,0.707608404095196,8.318698006094452,0.8655599408956144,9.319449429457514,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_2px,4,6,5.98386759178042,0.5647539481465151,8.4624667037407,0.8606485590997711,7.509352065436826,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.4,4,6,6.029326298222062,0.6937757681137956,8.526755022918408,0.8588107552059295,7.019927857587455,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,delay_1frame,4,6,6.091226193761551,0.6931877993701399,8.614294694699831,0.8559388340665475,6.0536201935100635,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_2,4,6,6.124509781330532,0.7228046927569394,8.661364795644317,0.8544402850136036,5.574664445188604,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_3,4,6,6.2148711263523895,0.6996321728444298,8.789155035288502,0.8500676552005992,4.146323369094275,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_6,4,6,6.370234529588703,0.6988017461419068,9.008872067241736,0.8425566777057775,1.7284283559907725,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,no_update,4,6,6.479881277411175,0.6812862143374457,9.16393598508238,0.8370813057016641,0.0,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,wrong_cell,4,6,6.683110713494091,0.6483197644282498,9.451345809864277,0.8267313715012844,-3.224462289637442,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,real_update_every_1,6,6,6.7846380047434645,0.8353324822226045,9.594927082100144,0.9050428519157294,13.280449335117476,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
