operating_point,calibration_mode,condition,horizon,movies,nll_mean,coverage_50_mean,coverage_90_mean,calibration_error_mean,uncertainty_error_corr_mean,scale_factor_mean,update_scale_factor_mean,prior_scale_factor_mean,mean_step_scale_mean,mean_endpoint_scale_mean,source_path,source_sha256
h1_strict,frozen_state_aware_scale,update_every_3,1,6,2.5335292365884547,0.5187332157388654,0.9171650420015296,0.108523274033712,0.2700815265122522,1.0471896642959082,1.0083333333333333,1.0666666666666669,2.5308494545845472,2.5308494545845472,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_6,1,6,2.533652400555856,0.4990311781801149,0.906463482424715,0.0987683928581324,0.2725537025191496,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_6,1,6,2.5373227510256924,0.5210529908758522,0.9183963024962116,0.1112598183892879,0.2690917536003522,1.0569242728796406,1.0083333333333333,1.0666666666666669,2.5545494528154844,2.5545494528154844,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,wrong_cell,1,6,2.548325947878885,0.4854921166950472,0.9046799737478884,0.0829021303409448,0.2768617329644955,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,wrong_cell,1,6,2.5505344527977045,0.5123258600433046,0.919582190260468,0.0927750526127683,0.2768617329644956,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,2.5793247849782195,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,delay_1frame,2,6,2.985518692365318,0.4514653293589512,0.8289205016400136,0.1362023047990297,0.4389527684598117,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,delay_1frame,2,6,2.944692387234349,0.4763504038377693,0.8512388264200217,0.0995462052864883,0.4389527684598117,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,3.6569466174906906,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.1,2,6,2.8662087172448714,0.4941563491119554,0.8603177792953653,0.1009584036677068,0.4317481464501272,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.1,2,6,2.857316878589,0.4992517271106526,0.864806243895245,0.0967828906868072,0.4325528490273396,1.0140187542930956,1.0083333333333333,1.0666666666666669,2.4494771991385424,3.4735174429186135,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.2,2,6,2.8758813805808394,0.4914216225056299,0.8574078165458596,0.1035917339428671,0.4333834206037503,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.2,2,6,2.864323991197319,0.4990861344585396,0.864275292142613,0.0976031154640439,0.4344779141979256,1.0197930579375736,1.0083333333333333,1.0666666666666669,2.4635577911325153,3.4939589706630616,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.4,2,6,2.894519229211955,0.4850905677811455,0.8525386241586957,0.1075524806988847,0.436871522473669,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.4,2,6,2.876589702623944,0.4970937709194027,0.86227293608028,0.0978302159816835,0.4389290125010857,1.031148326526954,1.0083333333333333,1.0666666666666669,2.4913232778274343,3.534341281898451,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,no_update,2,6,2.954521639703192,0.4621443347466742,0.8347996071320645,0.1291041431762329,0.4491702849338811,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,no_update,2,6,2.9176278509949447,0.4879417795006409,0.8563702025008845,0.102795242581871,0.449170284933881,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,3.6569466174906906,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,real_update_every_1,2,6,2.8569327625943557,0.4974809068962425,0.8627246252269175,0.0997941681190613,0.4300747686718886,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,real_update_every_1,2,6,2.851263933348683,0.5005904445923012,0.8656722261022618,0.0967362662754063,0.4300747686718886,1.0083333333333335,1.0083333333333333,1.0666666666666669,2.43555378648289,3.453091789827042,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,tracking_noise_0.5px,2,6,2.859351422577643,0.4965073701541611,0.8626103572005838,0.0997447156636085,0.4284807215972934,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,tracking_noise_0.5px,2,6,2.8531105596906117,0.5004936050027039,0.8663704852173225,0.0973984318099224,0.4284851081138521,1.0120381122786553,1.0083333333333333,1.0666666666666669,2.443035577927532,3.463565718580346,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,tracking_noise_1px,2,6,2.8698935830163834,0.4893795380210297,0.8592479920361257,0.1010581359270386,0.4214729173501039,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,tracking_noise_1px,2,6,2.8620959063758744,0.4974913764639477,0.8655779107684092,0.0968448932078767,0.4214852565188603,1.0209714783434352,1.0083333333333333,1.0666666666666669,2.4614197049791264,3.4893723033726847,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,tracking_noise_2px,2,6,2.906226485392446,0.4680335673154312,0.8481516023620118,0.1051199680282088,0.400339679774943,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,tracking_noise_2px,2,6,2.8919075103434277,0.4840556357839906,0.860510725767366,0.0946738460533489,0.4010280542645819,1.040718618206766,1.0083333333333333,1.0666666666666669,2.5039486759622975,3.5494884387769634,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_1,2,6,2.8569327625943557,0.4974809068962425,0.8627246252269175,0.0997941681190613,0.4300747686718886,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_1,2,6,2.851263933348683,0.5005904445923012,0.8656722261022618,0.0967362662754063,0.4300747686718886,1.0083333333333335,1.0083333333333333,1.0666666666666669,2.43555378648289,3.453091789827042,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_2,2,6,2.9098735165951126,0.4807674497485452,0.8480858576427134,0.1146083411212945,0.4377502818190237,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_2,2,6,2.889001812368002,0.4948248667604709,0.8604676896253842,0.100905491775714,0.4378859313615253,1.0374715440115436,1.0083333333333333,1.0666666666666669,2.5069864087709894,3.557044182701341,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_3,2,6,2.92210808594268,0.4771362361764664,0.8441079910359807,0.1172956727540958,0.4428675123420689,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_3,2,6,2.896227425443307,0.4950739465387245,0.8597929232031821,0.1010233549720073,0.4430437968652148,1.0471896642959082,1.0083333333333333,1.0666666666666669,2.5308494545845472,3.5911145543164533,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_6,2,6,2.9408002443166814,0.4688846739557886,0.8389194348055485,0.1232820335607602,0.4463182502870786,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_6,2,6,2.9090093819805336,0.4905263481169069,0.8577113628486476,0.1001851400463453,0.4468003588048011,1.0569242728796406,1.0083333333333333,1.0666666666666669,2.5545494528154844,3.624840261284953,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,wrong_cell,2,6,3.0072566670234395,0.4395791593383571,0.820397755115812,0.1499783833590482,0.436136397367415,1.0,1.0,1.0,2.4188314791447048,3.429459495235635,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,wrong_cell,2,6,2.9633240959749263,0.4646332247437409,0.8441265730929302,0.1115132479528661,0.436136397367415,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,3.6569466174906906,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,delay_1frame,4,6,3.164415711075744,0.4797605653883048,0.856257410988182,0.1057633691892623,0.4767989499064293,1.0,1.0,1.0,2.4188314791447048,4.8569595484383035,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,delay_1frame,4,6,3.1463229973844515,0.5056847634173145,0.8772181737259728,0.0918714652258619,0.4767989499064293,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,5.179011048496728,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.1,4,6,3.0956897070277383,0.5103904855218817,0.8756010649354021,0.0972645173239733,0.488801051355378,1.0,1.0,1.0,2.4188314791447048,4.8569595484383035,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.1,4,6,3.0913189423461147,0.5162162415826442,0.8802834737787669,0.0995912545549111,0.4898226534884457,1.0140187542930956,1.0083333333333333,1.0666666666666669,2.4494771991385424,4.9197218269266285,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.2,4,6,3.1119546920924073,0.5038387818359146,0.8708269105406515,0.0965688570127688,0.4881572175856378,1.0,1.0,1.0,2.4188314791447048,4.8569595484383035,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.2,4,6,3.1054580056981127,0.5119371323678382,0.8775596964207973,0.0973540088444798,0.490462662443627,1.0197930579375736,1.0083333333333333,1.0666666666666669,2.4635577911325153,4.949016094609747,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,missing_0.4,4,6,3.1443071832353056,0.4911863945795566,0.862333075615778,0.1018009855524816,0.4889280918894687,1.0,1.0,1.0,2.4188314791447048,4.8569595484383035,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,missing_0.4,4,6,3.133149572902704,0.5039244030288922,0.8726584859181673,0.0941127297216634,0.4918088877571279,1.031148326526954,1.0083333333333333,1.0666666666666669,2.4913232778274343,5.007003581081326,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,no_update,4,6,3.2489491852105794,0.4519397452531208,0.8323563881028203,0.1346386270925806,0.4917408467103918,1.0,1.0,1.0,2.4188314791447048,4.8569595484383035,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,no_update,4,6,3.219200236519417,0.4768692043185911,0.8555863723057717,0.1039914097883651,0.4917408467103914,1.0666666666666669,1.0083333333333333,1.0666666666666669,2.5793247849782195,5.179011048496728,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
