objective_name,control,horizon,movies,component_rmse,vector_rmse,r2,gain_vs_v97_percent
h6_guard10,kalman_ca,6,7,6.934950076944387,9.80750045319509,0.9016893607363388,-6.789654050599781
h6_guard10,kalman_cv,1,7,3.74255606413844,5.292773543846254,0.3896156519137907,-9.480259971882772
h6_guard10,kalman_cv,2,7,4.928030306533,6.96928729528461,0.6798814175216054,-12.80102971942981
h6_guard10,kalman_cv,4,7,6.531656804060132,9.23715763706834,0.8306074155442056,-16.624030121586845
h6_guard10,kalman_cv,6,7,7.600179935035357,10.74827754060287,0.8819597914155072,-17.04453203440488
h6_guard10,real,1,7,3.7211800444360983,5.262543286873647,0.396702047589637,-8.865207374369648
h6_guard10,real,2,7,4.043147553022182,5.717874104159563,0.784358509550863,7.506959533577389
h6_guard10,real,4,7,4.452513730977193,6.296805305000376,0.9211812411765192,20.543007360530616
h6_guard10,real,6,7,4.819533087729029,6.815849056972274,0.952465638474533,25.816658637891575
h6_guard10,stale_time,1,7,3.736616739662229,5.28437407062066,0.3913009904509043,-9.30965126364802
h6_guard10,stale_time,2,7,4.913555532524953,6.948816873570143,0.6816480348482375,-12.473070685474363
h6_guard10,stale_time,4,7,5.2580521176751835,7.436008616480817,0.8901143553210299,6.154105350336392
h6_guard10,stale_time,6,7,5.565454759663751,7.870741601890372,0.9366283957684004,14.327183374232002
h6_guard10,v97_no_update,1,7,3.420378932523928,4.837146274830549,0.4899134428720919,0.0
h6_guard10,v97_no_update,2,7,4.3704799043987395,6.180791954879766,0.7481035821221542,0.0
h6_guard10,v97_no_update,4,7,5.602715480152857,7.923436218149857,0.875297136103634,0.0
h6_guard10,v97_no_update,6,7,6.496100228503577,9.18687304568472,0.9137298669609996,0.0
h6_guard10,wrong_cell,1,7,3.655558785780299,5.1697408129026226,0.4179012762317116,-6.957245790298647
h6_guard10,wrong_cell,2,7,4.7688083476320795,6.744113441579316,0.7002341897517662,-9.150110405588697
h6_guard10,wrong_cell,4,7,6.2116315531756054,8.784573586965594,0.8467954918924404,-10.900751379511744
h6_guard10,wrong_cell,6,7,7.278541510180934,10.293412117993425,0.8917416157690093,-12.076626273648229
