split,source_groups,target_group,variant,control,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
high_to_low_density,4,low_density/island04,boundary_pde,real,0.09300494632185038,100.0,0.03,0.18406686895169527,0.18406686940637293,0.3036277380550152,0.6450264935685609,0.9915653082080236,3.776691731783237
high_to_low_density,4,low_density/island04,mechanics_source_pde,real,0.09209166784283301,100.0,0.0,0.18392132396377636,0.18392132442528217,0.3047285707796842,0.6449437761653599,0.9900142182341003,3.8527772306432686
high_to_low_density,4,low_density/island04,mechanics_source_pde,time_shuffled,0.09206225865273068,0.01,0.01,0.18404738615636768,0.18404738661787218,0.3037751470430474,0.6441010533121907,0.9904049554116913,3.786876608452669
high_to_low_density,4,low_density/island04,mechanics_source_pde,spatial_shifted,0.09210794352760189,100.0,0.03,0.1840632585521094,0.18406325901414552,0.30365505587003283,0.6440532261153823,0.9903793928223199,3.7785791104591886
high_to_low_density,4,low_density/island04,mechanics_source_pde,wrong_island,0.09211042903898477,100.0,0.01,0.1840718386065419,0.1840718390681162,0.3035901345327846,0.6440568835642445,0.9903863809714337,3.7740937775970593
untreated_to_treated,15,cn03_5_8/island05,relaxation,real,0.18218653735308635,100.0,0.0,0.0838119698647309,0.08381196934111332,0.051870298487000754,0.5268559032205705,0.9203208772988068,9.45822783337546
untreated_to_treated,15,cn03_5_8/island05,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.08359104677843802,0.0835910462512327,0.05686213147389485,0.5219209210139172,0.9221588874941834,9.696890261040252
untreated_to_treated,15,cn03_5_8/island05,boundary_pde,real,0.18068541301419772,100.0,0.01,0.08333998389351595,0.08333998341997136,0.0625189878848712,0.5205549088248176,0.9262362094042814,9.968112544042041
untreated_to_treated,15,cn03_5_8/island05,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.0839845787709607,0.08398457824524377,0.04796097258473908,0.5166996382741187,0.9452520560016449,9.271759048611514
untreated_to_treated,15,cn03_5_8/island05,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.083703151006043,0.08370315047937836,0.054330744566219114,0.5217606551395132,0.9317644428185211,9.575784462387933
untreated_to_treated,15,cn03_5_8/island05,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.083589586811739,0.08358958628436941,0.05689507610307931,0.5217956078269159,0.9225061179298725,9.698467458046197
untreated_to_treated,15,cn03_5_8/island05,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.08359361661662004,0.08359361608946404,0.05680414083693719,0.522101351468147,0.9222328642293662,9.694114073945782
untreated_to_treated,15,cn03_5_8/island06,relaxation,real,0.18218653735308635,100.0,0.0,0.09504071575759793,0.0950407155403925,-0.00018515333786761623,0.582699306873558,0.9345818207057265,7.498723137860919
untreated_to_treated,15,cn03_5_8/island06,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.09453987423718758,0.09453987401787764,0.01032853758149821,0.5806005487532775,0.935508079137814,7.9861824343822425
