outer_group,validation_group,variant,control,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
high_density/island02,high_density/island03,helmholtz_pde,kin_wrong_island,3571,0.0685197186808007,100.0,0.0,0.07429892362853235,0.07429892365439063,-0.400115834942109,0.3514674179839233,0.9982891530144984,0.6072840794516029
high_density/island02,high_density/island03,advective_pde,real,3571,0.06017346580654699,0.01,0.0,0.06780877483563501,0.06780877488995828,-0.16619377462940532,0.3569009877982868,0.9044980506119566,9.289422133374849
high_density/island02,high_density/island03,advective_pde,kin_time_shuffled,3571,0.06800372057627821,100.0,0.0,0.07477452784462771,0.07477452787408219,-0.4180981221078648,0.3513672404199662,1.0120184703174626,-0.0289511817522645
high_density/island02,high_density/island03,advective_pde,kin_spatial_shifted,3571,0.06560830655140329,0.01,0.0,0.07459074767263818,0.07459074770414276,-0.411135910547733,0.34932589531078345,0.9943427203197713,0.2168990853066263
high_density/island02,high_density/island03,advective_pde,kin_wrong_island,3571,0.06861528555970177,100.0,0.03,0.07427460236015537,0.07427460238610792,-0.39919934738813745,0.3517029760555991,0.9975457476314312,0.6398196370391578
high_density/island02,high_density/island03,boundary_pde,real,3571,0.06017370212266533,0.01,0.0,0.0678087608366101,0.06780876089093324,-0.16619329311136632,0.3569013143379382,0.9044959171766638,9.289440860444506
high_density/island02,high_density/island03,mechanics_source_pde,real,3571,0.059800347707807094,0.01,0.0,0.06798499497566307,0.06798499499352055,-0.17226301335437277,0.3542961088172925,0.897399441177528,9.053685277019735
high_density/island02,high_density/island03,mechanics_source_pde,time_shuffled,3571,0.05980208312908005,0.01,0.0,0.06798573913733723,0.06798573915524318,-0.17228867660661984,0.35439452289201784,0.8974062935192346,9.052689781377824
high_density/island02,high_density/island03,mechanics_source_pde,spatial_shifted,3571,0.05979886976130843,0.01,0.03,0.06798593048487543,0.0679859305020653,-0.17229527546194867,0.3542054993377424,0.8971655829979922,9.052433808889958
high_density/island02,high_density/island03,mechanics_source_pde,wrong_island,3571,0.05980276973543895,0.01,0.0,0.06798539483686543,0.06798539485479733,-0.1722768029843862,0.3544336012295116,0.8973978977560562,9.053150366198201
high_density/island02,high_density/island03,mechanics_source_pde,kin_time_shuffled,3571,0.06791852191177941,100.0,0.0,0.074747491040803,0.07474749107311464,-0.4170728022248993,0.3510211303509861,1.0130567364629706,0.007217055226082872
high_density/island02,high_density/island03,mechanics_source_pde,kin_spatial_shifted,3571,0.06575885708316487,0.01,0.0,0.07464018358299436,0.07464018361366817,-0.41300702477429696,0.35003198997973944,0.997133805792218,0.150766642600062
high_density/island02,high_density/island03,mechanics_source_pde,kin_wrong_island,3571,0.06851895884172703,100.0,0.0,0.074298579867852,0.07429857989368217,-0.40010287906941944,0.3514993261726274,0.9982964775333556,0.607743942243142
high_density/island02,high_density/island03,full_sparse_pde,real,3571,0.060171531075494056,0.01,0.0,0.06780835837064124,0.06780835842490113,-0.16617944971448617,0.3567932171568987,0.904547021927487,9.28997925575402
