outer_group,target,variant,n_test,rmse,r2,gain_vs_velocity_percent,validation_rmse,alpha,threshold
cytod/island02,force_balance,velocity_plus_innovation,3450,12.7081841986814,-0.021262313543304767,-0.01561164703813968,12.598368860279725,100.0,0.0
cytod/island02,force_balance,velocity_plus_time_shuffled_innovation,3450,12.705521906806998,-0.020834461142104077,0.005341051320512328,12.594135608609953,100.0,0.03
cytod/island03,traction,velocity_only,4633,34.78132748315094,-0.01347745605939843,0.0,21.997419563980007,100.0,0.0
cytod/island03,traction,velocity_plus_innovation,4633,34.790986865888385,-0.014040455043005329,-0.027771748338603647,21.98870114660021,100.0,0.0
cytod/island03,traction,velocity_plus_time_shuffled_innovation,4633,34.7833643092678,-0.01359615985501006,-0.0058560907942656094,21.998907814350336,100.0,0.0
cytod/island03,stress_div,velocity_only,4633,5.68719121685924,-0.01673719567331644,0.0,3.689954340579216,100.0,0.0
cytod/island03,stress_div,velocity_plus_innovation,4633,5.688919656527662,-0.017355299015492154,-0.03039179803376042,3.6884735835983813,100.0,0.0
cytod/island03,stress_div,velocity_plus_time_shuffled_innovation,4633,5.687052872043384,-0.016687730619683983,0.0024325683906388338,3.690226376343681,100.0,0.0
cytod/island03,force_balance,velocity_only,4633,12.584982536603967,-0.015012716863968656,0.0,8.054905272492665,100.0,0.0
cytod/island03,force_balance,velocity_plus_innovation,4633,12.588670995455802,-0.015607772321272195,-0.029308414541752963,8.051649442803445,100.0,0.0
cytod/island03,force_balance,velocity_plus_time_shuffled_innovation,4633,12.585294273396546,-0.015063002309620765,-0.002477053835173774,8.05547309667923,100.0,0.0
cytod/island04,traction,velocity_only,3450,21.976155699560373,-0.01669979847074443,0.0,34.791401733506795,100.0,0.0
cytod/island04,traction,velocity_plus_innovation,3450,21.96790599697101,-0.015936617068655234,0.03753933445934215,34.800905803579,100.0,0.0
cytod/island04,traction,velocity_plus_time_shuffled_innovation,3450,21.977652453042133,-0.01683829410262505,-0.006810806686221195,34.793332712914214,100.0,0.03
cytod/island04,stress_div,velocity_only,3450,3.6847797848812793,-0.024822736535836443,0.0,5.689772459912854,100.0,0.0
cytod/island04,stress_div,velocity_plus_innovation,3450,3.6833458273696422,-0.02402525804120703,0.03891569090561835,5.69148510934395,100.0,0.0
cytod/island04,stress_div,velocity_plus_time_shuffled_innovation,3450,3.6851612312794564,-0.025034925702134503,-0.010351945582803513,5.689638552657699,100.0,0.03
cytod/island04,force_balance,velocity_only,3450,8.045651571893014,-0.020310601232470527,0.0,12.589464075874467,100.0,0.0
cytod/island04,force_balance,velocity_plus_innovation,3450,8.042538715544136,-0.019521239204300933,0.03868992238928645,12.593108255044898,100.0,0.0
cytod/island04,force_balance,velocity_plus_time_shuffled_innovation,3450,8.046332915084685,-0.020483417843017104,-0.008468465053234737,12.589749077007012,100.0,0.03
cytod/island05,traction,velocity_only,3772,22.75236962467418,-0.01841440175779141,0.0,23.147556725771032,100.0,0.0
cytod/island05,traction,velocity_plus_innovation,3772,22.751251492481334,-0.018314307221122705,0.00491435490584799,23.136812645510233,100.0,0.0
cytod/island05,traction,velocity_plus_time_shuffled_innovation,3772,22.758498912527813,-0.018963179394267726,-0.026939118670896968,23.14776134939744,100.0,0.0
cytod/island05,stress_div,velocity_only,3772,3.7853970859195467,-0.03178544407146866,0.0,3.885923359801381,100.0,0.0
cytod/island05,stress_div,velocity_plus_innovation,3772,3.785034623589372,-0.03158786086271359,0.009575278945577595,3.883802817055461,100.0,0.0
cytod/island05,stress_div,velocity_plus_time_shuffled_innovation,3772,3.7867902668383513,-0.032545062300719296,-0.036804089166411744,3.8860873894904975,100.0,0.0
cytod/island05,force_balance,velocity_only,3772,8.300070460183962,-0.02422279874529254,0.0,8.475946241792037,100.0,0.0
cytod/island05,force_balance,velocity_plus_innovation,3772,8.299501810717565,-0.02408246167238759,0.006851140229765726,8.471658896517257,100.0,0.0
cytod/island05,force_balance,velocity_plus_time_shuffled_innovation,3772,8.302678852855543,-0.024866647503388073,-0.03142615094767714,8.476140399857083,100.0,0.0
cytod/island06,traction,velocity_only,2810,23.128400237786813,-0.015193936207581915,0.0,35.09380005811103,100.0,0.01
cytod/island06,traction,velocity_plus_innovation,2810,23.117603418700025,-0.014246330080531111,0.046682083394375774,35.0993536350588,100.0,0.03
cytod/island06,traction,velocity_plus_time_shuffled_innovation,2810,23.12799115573824,-0.015158024174057871,0.0017687433820227777,35.09203856328258,100.0,0.0
cytod/island06,stress_div,velocity_only,2810,3.8810511449424885,-0.019922567441588157,0.0,5.753146054376535,100.0,0.0
cytod/island06,stress_div,velocity_plus_innovation,2810,3.879100929957353,-0.018897809740429983,0.05024965949435503,5.753645675547657,100.0,0.03
cytod/island06,stress_div,velocity_plus_time_shuffled_innovation,2810,3.8812055320310606,-0.020003713503203846,-0.0039779709879180156,5.75278556840601,100.0,0.0
cytod/island06,force_balance,velocity_only,2810,8.467255613480923,-0.01736333764821496,0.0,12.710771538407023,100.0,0.0
cytod/island06,force_balance,velocity_plus_innovation,2810,8.463239716825944,-0.016398525119951657,0.047428551094935455,12.712440658338657,100.0,0.03
cytod/island06,force_balance,velocity_plus_time_shuffled_innovation,2810,8.467433811277493,-0.01740615997956918,-0.0021045519906890756,12.710053748269782,100.0,0.0
high_density/island01,traction,velocity_only,3828,23.667815810045983,0.01147525955508355,0.0,23.88660271932531,100.0,0.0
high_density/island01,traction,velocity_plus_innovation,3828,23.669279522227395,0.011352987144536697,-0.006184399072391599,23.894340979654725,100.0,0.0
high_density/island01,traction,velocity_plus_time_shuffled_innovation,3828,23.668656832830223,0.011405004943729424,-0.0035534448594226396,23.874533570811874,100.0,0.03
high_density/island01,stress_div,velocity_only,3828,3.9483747080718197,0.015089156463424458,0.0,4.117034447930043,100.0,0.03
high_density/island01,stress_div,velocity_plus_innovation,3828,3.9488272852699864,0.014863355332773276,-0.011462366964348476,4.1187679675440165,100.0,0.0
high_density/island01,stress_div,velocity_plus_time_shuffled_innovation,3828,3.948591624941344,0.014980934898174425,-0.005493826841734285,4.114545439340213,100.0,0.03
high_density/island01,force_balance,velocity_only,3828,8.643907482064998,0.013185468088890095,0.0,8.861187531441349,100.0,0.0
high_density/island01,force_balance,velocity_plus_innovation,3828,8.6446013917495,0.013027024087198358,-0.008027731508484756,8.864449017393152,100.0,0.0
high_density/island01,force_balance,velocity_plus_time_shuffled_innovation,3828,8.644242812603434,0.013108901913782778,-0.0038793860199366247,8.856262592159844,100.0,0.03
high_density/island02,traction,velocity_only,3571,24.133547805135436,0.0071385726831785234,0.0,16.854604510631326,100.0,0.0
high_density/island02,traction,velocity_plus_innovation,3571,24.134440916167083,0.007065085609622601,-0.003700703431003282,16.855435483877038,100.0,0.03
high_density/island02,traction,velocity_plus_time_shuffled_innovation,3571,24.136866777349304,0.006865466871454173,-0.01375252507699023,16.850780024366728,100.0,0.0
high_density/island02,stress_div,velocity_only,3571,3.9298817934340495,0.008183311378054836,0.0,2.797518922679516,100.0,0.0
