run,method,metric_unit,family,horizon,family_movie_macro_rmse,family_movie_macro_r2,family_movie_macro_angular_cosine,movies,windows
wrong_video,v97_direct_context,pixel,bronchial_epithelial,2,7.753413915634155,0.6904585361480713,0.7401107549667358,2,15029
wrong_video,v97_direct_context,pixel,bronchial_epithelial,4,9.737710952758789,0.8433138728141785,0.8430784046649933,2,14099
wrong_video,v97_direct_context,pixel,bronchial_epithelial,6,10.92372751235962,0.8919478356838226,0.8780131638050079,2,13302
wrong_video,v97_direct_context,pixel,embryonic_stem,1,8.88206672668457,-0.7149625505719867,-0.0551560004906995,7,2172
wrong_video,v97_direct_context,pixel,embryonic_stem,2,8.033920049667358,0.11632064410618373,0.3637953996658325,7,1949
wrong_video,v97_direct_context,pixel,embryonic_stem,4,8.772400106702532,0.46764049359730314,0.6035819351673126,7,1609
wrong_video,v97_direct_context,pixel,embryonic_stem,6,9.37573310307094,0.6031784074647086,0.7239658917699542,7,1322
wrong_video,v97_direct_context,pixel,skeletal_muscle,1,6.46173095703125,0.09848102927207947,0.343525730073452,2,4443
wrong_video,v97_direct_context,pixel,skeletal_muscle,2,7.080723285675049,0.5835034251213074,0.6493062674999237,2,4146
wrong_video,v97_direct_context,pixel,skeletal_muscle,4,9.311420679092407,0.7583057880401611,0.7957545220851898,2,3583
wrong_video,v97_direct_context,pixel,skeletal_muscle,6,11.082913398742676,0.8213186264038086,0.8552132844924927,2,3139
zero,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.1528049260377884,0.3113603889942169,0.5045965015888214,2,15534
zero,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18239030987024307,0.6909790635108948,0.7397683560848236,2,15029
zero,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.2287854552268982,0.8438630700111389,0.8435674905776978,2,14099
zero,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.25613316893577576,0.8926765322685242,0.8801323771476746,2,13302
zero,v97_direct_context,cell_diameter,embryonic_stem,1,0.1626679546066693,-0.7115692070552281,-0.055239170124488216,7,2172
zero,v97_direct_context,cell_diameter,embryonic_stem,2,0.14922144689730235,0.11776521376201085,0.3590258296046938,7,1949
zero,v97_direct_context,cell_diameter,embryonic_stem,4,0.16069679813725607,0.4658323270933969,0.6065661694322314,7,1609
zero,v97_direct_context,cell_diameter,embryonic_stem,6,0.17073633202484675,0.6007794056619916,0.7219440851892743,7,1322
zero,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19873631745576859,0.09611588716506958,0.34750989079475403,2,4443
zero,v97_direct_context,cell_diameter,skeletal_muscle,2,0.21505741775035858,0.5824699103832245,0.650170624256134,2,4146
zero,v97_direct_context,cell_diameter,skeletal_muscle,4,0.2792190685868263,0.7586022913455963,0.7942127287387848,2,3583
zero,v97_direct_context,cell_diameter,skeletal_muscle,6,0.3294157385826111,0.8230055868625641,0.8530939221382141,2,3139
zero,v97_direct_context,pixel,bronchial_epithelial,1,6.491126537322998,0.3113603889942169,0.5045965015888214,2,15534
zero,v97_direct_context,pixel,bronchial_epithelial,2,7.747107982635498,0.6909790635108948,0.7397683560848236,2,15029
zero,v97_direct_context,pixel,bronchial_epithelial,4,9.719981670379639,0.8438630700111389,0.8436108231544495,2,14099
zero,v97_direct_context,pixel,bronchial_epithelial,6,10.883768081665039,0.8926765322685242,0.8801612854003906,2,13302
zero,v97_direct_context,pixel,embryonic_stem,1,8.871493646076747,-0.7115691559655326,-0.05523917118885687,7,2172
zero,v97_direct_context,pixel,embryonic_stem,2,8.02059371130807,0.1177652222769601,0.3590258296046938,7,1949
zero,v97_direct_context,pixel,embryonic_stem,4,8.758535657610212,0.46583231006349834,0.6068739422730037,7,1609
zero,v97_direct_context,pixel,embryonic_stem,6,9.347098452704293,0.6007793886320931,0.7238584842000689,7,1322
zero,v97_direct_context,pixel,skeletal_muscle,1,6.468423843383789,0.09611585736274719,0.34750985354185104,2,4443
zero,v97_direct_context,pixel,skeletal_muscle,2,7.081282377243042,0.5824699103832245,0.6501706838607788,2,4146
zero,v97_direct_context,pixel,skeletal_muscle,4,9.296387672424316,0.7586023211479187,0.7944554388523102,2,3583
zero,v97_direct_context,pixel,skeletal_muscle,6,11.034065246582031,0.8230055868625641,0.8532727956771851,2,3139
