run,method,metric_unit,sequence,family,video,frame_interval_min,reference_diameter_px,horizon,component_rmse,r2,angular_cosine,magnitude_ratio,n_windows
seed7,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,4,11.416247367858887,0.8419098258018494,0.8598340153694153,0.8148887157440186,1968
seed7,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,6,14.191302299499512,0.8833044767379761,0.9107128977775574,0.8092840313911438,1717
seed7,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,1,0.1474168598651886,0.3513053059577942,0.4977721869945526,0.8373346924781799,8006
seed7,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,2,0.17582975327968597,0.7141742706298828,0.7449231743812561,0.8543915152549744,7791
seed7,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,4,0.22488351166248322,0.8548600673675537,0.8475152254104614,0.8595821857452393,7399
seed7,v97_direct,cell_diameter,1,bronchial_epithelial,set_1,5.0,43.1153074361454,6,0.25596529245376587,0.9000318050384521,0.8871473073959351,0.8599231243133545,7081
seed7,v97_direct,cell_diameter,6,bronchial_epithelial,set_7,5.0,41.887039673926,1,0.15765446424484253,0.2763369679450989,0.513534665107727,0.8418852090835571,7528
seed7,v97_direct,cell_diameter,6,bronchial_epithelial,set_7,5.0,41.887039673926,2,0.190180242061615,0.6637566089630127,0.7316259145736694,0.8564475178718567,7238
seed7,v97_direct,cell_diameter,6,bronchial_epithelial,set_7,5.0,41.887039673926,4,0.23275145888328552,0.8330960273742676,0.8424968719482422,0.8610186576843262,6700
seed7,v97_direct,cell_diameter,6,bronchial_epithelial,set_7,5.0,41.887039673926,6,0.25537872314453125,0.8865560293197632,0.8762790560722351,0.8604191541671753,6221
seed7,v97_direct,cell_diameter,7,embryonic_stem,set_1,20.0,32.321638171543796,1,0.15002687275409698,-0.424704909324646,-0.004935429431498051,0.780308187007904,1001
seed7,v97_direct,cell_diameter,7,embryonic_stem,set_1,20.0,32.321638171543796,2,0.16393785178661346,0.2325981855392456,0.3940944969654083,0.806433379650116,901
seed7,v97_direct,cell_diameter,7,embryonic_stem,set_1,20.0,32.321638171543796,4,0.1639297604560852,0.6473020315170288,0.6367495656013489,0.8102170825004578,751
seed7,v97_direct,cell_diameter,7,embryonic_stem,set_1,20.0,32.321638171543796,6,0.16750270128250122,0.7721354961395264,0.7391353249549866,0.8084847331047058,611
seed7,v97_direct,cell_diameter,12,embryonic_stem,set_14,30.0,64.830268680384,1,0.13360103964805603,-0.9994325637817383,-0.041965533047914505,0.7683720588684082,111
seed7,v97_direct,cell_diameter,12,embryonic_stem,set_14,30.0,64.830268680384,2,0.10888509452342987,0.027843117713928223,0.3000444769859314,0.7298675179481506,94
seed7,v97_direct,cell_diameter,12,embryonic_stem,set_14,30.0,64.830268680384,4,0.11016187071800232,0.36827248334884644,0.5632745623588562,0.8054082989692688,68
seed7,v97_direct,cell_diameter,12,embryonic_stem,set_14,30.0,64.830268680384,6,0.11385615170001984,0.5406202077865601,0.7544832229614258,0.8174297213554382,48
seed7,v97_direct,cell_diameter,17,embryonic_stem,set_19,30.0,64.1867162134092,1,0.2923423945903778,-0.7996708154678345,-0.07493793964385986,0.7376923561096191,160
seed7,v97_direct,cell_diameter,17,embryonic_stem,set_19,30.0,64.1867162134092,2,0.21856622397899628,0.30743956565856934,0.389069527387619,0.7361010909080505,148
seed7,v97_direct,cell_diameter,17,embryonic_stem,set_19,30.0,64.1867162134092,4,0.25773683190345764,0.5559461116790771,0.5994156002998352,0.7083826661109924,130
seed7,v97_direct,cell_diameter,17,embryonic_stem,set_19,30.0,64.1867162134092,6,0.290340781211853,0.574156641960144,0.6977145075798035,0.7008581161499023,114
seed7,v97_direct,cell_diameter,22,embryonic_stem,set_23,30.0,40.1250384084586,1,0.20355647802352905,-0.9289361238479614,-0.21019569039344788,0.7342897057533264,152
seed7,v97_direct,cell_diameter,22,embryonic_stem,set_23,30.0,40.1250384084586,2,0.18624737858772278,-0.11944401264190674,0.19248050451278687,0.7620256543159485,136
seed7,v97_direct,cell_diameter,22,embryonic_stem,set_23,30.0,40.1250384084586,4,0.18454545736312866,0.1735655665397644,0.427961140871048,0.7379744648933411,106
seed7,v97_direct,cell_diameter,22,embryonic_stem,set_23,30.0,40.1250384084586,6,0.19646388292312622,0.3283766508102417,0.572403073310852,0.7396524548530579,86
seed7,v97_direct,cell_diameter,27,embryonic_stem,set_28,15.0,73.2664856575191,1,0.07692289352416992,-0.7432054281234741,-0.07365338504314423,0.7092177271842957,208
seed7,v97_direct,cell_diameter,27,embryonic_stem,set_28,15.0,73.2664856575191,2,0.06865903735160828,0.14043784141540527,0.39779573678970337,0.7406487464904785,182
seed7,v97_direct,cell_diameter,27,embryonic_stem,set_28,15.0,73.2664856575191,4,0.06658776849508286,0.615641713142395,0.7452074885368347,0.7720118761062622,158
seed7,v97_direct,cell_diameter,27,embryonic_stem,set_28,15.0,73.2664856575191,6,0.07238790392875671,0.7585257291793823,0.791492223739624,0.774778425693512,144
seed7,v97_direct,cell_diameter,32,embryonic_stem,set_32,30.0,77.98800049260215,1,0.17865194380283356,-0.6965968608856201,0.06113562360405922,0.7609442472457886,113
seed7,v97_direct,cell_diameter,32,embryonic_stem,set_32,30.0,77.98800049260215,2,0.1824873983860016,0.08363622426986694,0.4345177114009857,0.7753408551216125,98
seed7,v97_direct,cell_diameter,32,embryonic_stem,set_32,30.0,77.98800049260215,4,0.1938016414642334,0.5169575810432434,0.6932945251464844,0.7580724954605103,70
seed7,v97_direct,cell_diameter,32,embryonic_stem,set_32,30.0,77.98800049260215,6,0.19685769081115723,0.6833078861236572,0.7937721014022827,0.7642825841903687,45
seed7,v97_direct,cell_diameter,37,embryonic_stem,set_7,20.0,28.24055498755745,1,0.13172480463981628,-0.9417492151260376,-0.04432566463947296,0.7945834398269653,427
seed7,v97_direct,cell_diameter,37,embryonic_stem,set_7,20.0,28.24055498755745,2,0.12460391223430634,0.020578444004058838,0.3918532133102417,0.8055672645568848,390
seed7,v97_direct,cell_diameter,37,embryonic_stem,set_7,20.0,28.24055498755745,4,0.12289873510599136,0.528519868850708,0.6008464694023132,0.8230319619178772,326
seed7,v97_direct,cell_diameter,37,embryonic_stem,set_7,20.0,28.24055498755745,6,0.12146660685539246,0.718614935874939,0.6974250674247742,0.8353081345558167,274
seed7,v97_direct,cell_diameter,40,skeletal_muscle,set_1,20.0,29.7472937187728,1,0.21528460085391998,-0.3182799816131592,0.18111656606197357,0.7367944121360779,1938
seed7,v97_direct,cell_diameter,40,skeletal_muscle,set_1,20.0,29.7472937187728,2,0.20592081546783447,0.4139057993888855,0.5655979514122009,0.7678923010826111,1826
seed7,v97_direct,cell_diameter,40,skeletal_muscle,set_1,20.0,29.7472937187728,4,0.23154020309448242,0.6881155967712402,0.7560352683067322,0.7806971669197083,1615
seed7,v97_direct,cell_diameter,40,skeletal_muscle,set_1,20.0,29.7472937187728,6,0.24920041859149933,0.7772330045700073,0.8301434516906738,0.7857454419136047,1422
seed7,v97_direct,cell_diameter,45,skeletal_muscle,set_7,20.0,35.85376417597725,1,0.18133074045181274,0.5144548416137695,0.4976430833339691,0.8071874380111694,2505
seed7,v97_direct,cell_diameter,45,skeletal_muscle,set_7,20.0,35.85376417597725,2,0.22238387167453766,0.7557238340377808,0.7339716553688049,0.8134164214134216,2320
seed7,v97_direct,cell_diameter,45,skeletal_muscle,set_7,20.0,35.85376417597725,4,0.3184114098548889,0.8419097661972046,0.8591974973678589,0.8148887157440186,1968
seed7,v97_direct,cell_diameter,45,skeletal_muscle,set_7,20.0,35.85376417597725,6,0.39581066370010376,0.8833045363426208,0.9107128977775574,0.8092840313911438,1717
seed42,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,1,6.333050727844238,0.3559657335281372,0.4942682087421417,0.8051735162734985,8006
seed42,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,2,7.5769195556640625,0.7144783735275269,0.7442737221717834,0.8194705843925476,7791
seed42,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,4,9.838863372802734,0.8505491018295288,0.8455442190170288,0.8236707448959351,7399
seed42,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,6,11.382615089416504,0.8936540484428406,0.8835868835449219,0.8227030634880066,7081
