sequence,frame,channel,image,model,diameter,cellprob_threshold,flow_threshold,representation,runtime_seconds,n_instances,coverage,area_median,area_q10,area_q90,small_fraction_lt200,large_fraction_gt30000,boundary_gradient_enrichment
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,60.0,0.0,0.6,direct,64.91015462501673,504.0,0.7402267456054688,5760.5,3281.6,9253.599999999999,0.0,0.003968253968253968,1.5906512764933796
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,60.0,0.0,0.6,boundary_watershed,64.91015462501673,504.0,1.0,5691.0,778.9000000000001,15366.799999999996,0.08333333333333333,0.03571428571428571,2.8080077437335307
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,80.0,-0.5,0.6,direct,55.33668062501238,526.0,0.7712197303771973,5801.5,3521.0,9241.0,0.0,0.0019011406844106464,1.530394766401063
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,80.0,-0.5,0.6,boundary_watershed,55.33668062501238,526.0,1.0,5617.0,804.5,14301.0,0.0817490494296578,0.03231939163498099,2.7990493025643994
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,80.0,0.0,0.6,direct,49.42082670802483,517.0,0.7449376583099365,5732.0,3463.4,9004.6,0.0,0.0019342359767891683,1.604628184145205
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,80.0,0.0,0.6,boundary_watershed,49.42082670802483,517.0,1.0,5595.0,520.8000000000004,14755.600000000002,0.09477756286266925,0.0367504835589942,2.8032916293854835
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,40.0,-0.5,0.6,direct,88.59606704098405,666.0,0.7168281078338623,4392.0,2044.5,6934.0,0.0,0.0,1.007268880842577
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,40.0,-0.5,0.6,boundary_watershed,88.59606704098405,666.0,1.0,5382.5,18.0,12033.5,0.13513513513513514,0.012012012012012012,2.5645836651611975
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,40.0,0.0,0.6,direct,96.18972995801596,627.0,0.6259815692901611,4018.0,1662.6,6584.8,0.0,0.0,1.0174635639010225
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,40.0,0.0,0.6,boundary_watershed,96.18972995801596,627.0,1.0,5500.0,47.6,12616.399999999994,0.12121212121212122,0.017543859649122806,2.569801337456033
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,60.0,-0.5,0.6,direct,50.283428875001846,693.0,0.8408017158508301,5007.0,2814.4,7403.4000000000015,0.0,0.0,1.001035652938798
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,60.0,-0.5,0.6,boundary_watershed,50.283428875001846,693.0,1.0,5447.0,35.80000000000001,11546.000000000002,0.11976911976911978,0.004329004329004329,2.5653008377572974
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,60.0,0.0,0.6,direct,46.03293583300547,667.0,0.7676975727081299,4710.0,2537.4,7184.2,0.0,0.0,0.9970855778644544
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,60.0,0.0,0.6,boundary_watershed,46.03293583300547,667.0,1.0,5490.0,133.00000000000006,12309.999999999998,0.10944527736131934,0.0074962518740629685,2.556495523942868
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,80.0,-0.5,0.6,direct,35.43863112499821,693.0,0.8892905712127686,5206.0,3185.0,7892.200000000004,0.0,0.0,0.9971709909754153
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,80.0,-0.5,0.6,boundary_watershed,35.43863112499821,693.0,1.0,5378.0,33.20000000000002,12240.800000000003,0.13275613275613277,0.004329004329004329,2.5781445070189557
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,80.0,0.0,0.6,direct,33.910497333010426,682.0,0.8340349197387695,4937.0,2873.5,7580.8,0.0,0.0,0.9969953691572744
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpdino,80.0,0.0,0.6,boundary_watershed,33.910497333010426,682.0,1.0,5420.5,37.20000000000002,12201.899999999998,0.13343108504398826,0.007331378299120235,2.573653402834768
