seed,protocol,packet,model,folds,component_rmse_mean,component_rmse_std,component_r2_mean,direction_cosine_mean,coord_rmse,gain_vs_coord_percent
42,chronological,coord_actin,hgbdt,1,10.044762067638228,,0.0007267308621629054,0.07818574567908881,10.063405577589036,0.18526044495639152
42,chronological,coord_only,hgbdt,1,10.063405577589036,,-0.0029860997684314494,0.058932977426742514,10.063405577589036,0.0
42,chronological,full_zero_state,hgbdt,1,10.063405577589036,,-0.0029860997684314494,0.058932977426742514,10.063405577589036,0.0
42,chronological,full_row_shuffled,hgbdt,1,10.080868346528048,,-0.006470031915364105,0.05898712333492027,10.063405577589036,-0.17352742870565882
42,chronological,coord_contact,ridge,1,10.038174625153973,,0.0020369653228452522,0.0688015777704184,10.051735863176447,0.1349143889878181
42,chronological,coord_reliability,ridge,1,10.046516682816591,,0.00037759502998779837,0.07957457333788791,10.051735863176447,0.05192317457301396
42,chronological,full_time_shuffled,ridge,1,10.04918989937109,,-0.00015444264262454155,0.05547142845456367,10.051735863176447,0.025328598363629575
42,chronological,coord_actin,ridge,1,10.050577441111901,,-0.00043065432884392685,0.07600771091891999,10.051735863176447,0.011524597147335239
42,chronological,coord_only,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
42,chronological,full_zero_state,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
42,chronological,full_real,ridge,1,10.052231463151724,,-0.0007599628727488206,0.0717150013183329,10.051735863176447,-0.004930491429773381
42,chronological,full_wrong_cell,ridge,1,10.057259767970171,,-0.001761409117065016,0.037380026296650354,10.051735863176447,-0.05495473487281775
42,chronological,full_row_shuffled,ridge,1,10.057623255830116,,-0.0018338214240558592,0.054593370196436564,10.051735863176447,-0.058570904904465294
42,chronological,coord_shape,ridge,1,10.059848293920727,,-0.002277139875992207,0.02526638574350181,10.051735863176447,-0.08070676403265846
42,leave_one_sequence_out,coord_only,hgbdt,3,11.068880274508132,4.909651338568999,-0.08360304527295963,-0.014648012023170625,11.068880274508132,0.0
42,leave_one_sequence_out,full_zero_state,hgbdt,3,11.068880274508132,4.909651338568999,-0.08360304527295963,-0.014648012023170625,11.068880274508132,0.0
42,leave_one_sequence_out,full_real,hgbdt,3,11.076174511734196,4.880633581494382,-0.08770761083241292,0.03628270274147294,11.068880274508132,-0.06589860080845997
42,leave_one_sequence_out,coord_shape,hgbdt,3,11.09030134531457,4.906909805895153,-0.08861514099592793,0.016604280504982784,11.068880274508132,-0.1935251829922794
42,leave_one_sequence_out,coord_reliability,hgbdt,3,11.093533192487428,4.866473230265688,-0.09358143624630062,0.002169045959818485,11.068880274508132,-0.22272278105737583
42,leave_one_sequence_out,coord_actin,hgbdt,3,11.094533644924503,4.925223699589227,-0.0885854857779808,-0.02277436732045965,11.068880274508132,-0.23176120601332875
42,leave_one_sequence_out,coord_contact,hgbdt,3,11.10068175623114,4.890399390220506,-0.09303291271931007,-0.01994177887698972,11.068880274508132,-0.2873053184633986
42,leave_one_sequence_out,full_row_shuffled,hgbdt,3,11.101101507944316,4.886865808885588,-0.09325789809960512,-0.01239655573640285,11.068880274508132,-0.2910974971008602
42,leave_one_sequence_out,full_wrong_cell,hgbdt,3,11.11400441640164,4.876989740022603,-0.09722809016427332,0.006908605067286321,11.068880274508132,-0.4076667266645738
42,leave_one_sequence_out,full_time_shuffled,hgbdt,3,11.130417639918974,4.878308878841786,-0.10132535318603024,-0.02917734659219408,11.068880274508132,-0.5559493271651361
42,leave_one_sequence_out,coord_only,ridge,3,11.246234766327035,4.364606064413564,-0.1840734100873176,-0.10958270957201133,11.246234766327035,0.0
42,leave_one_sequence_out,full_zero_state,ridge,3,11.246234766327035,4.364606064413564,-0.18407341008731767,-0.10958270957201192,11.246234766327035,0.0
