seed,protocol,fold,packet,evaluation_scale,n_val,n_test,mean_val_rmse_model_scale,gaussian_component_nll,student_t4_component_nll,coverage50,coverage90,coverage_error,uncertainty_error_spearman,mean_sigma
7,leave_one_sequence_out,mitomycin,coord_only,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.917397506316547,4.1891194596306915,0.31176684000483734,0.6966985125166284,0.19576732373926714,0.2851064435821263,7.876086723497995
7,leave_one_sequence_out,mitomycin,coord_shape,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.739626044359119,4.147792283805917,0.3397025033256742,0.7220542588785424,0.16912161889789173,0.28575345487765486,8.311849803295127
7,leave_one_sequence_out,mitomycin,coord_actin,current_frame_cell_diameter,48549,24807,0.08011253392028993,5.0411648996050005,4.222642044265288,0.28431491111379853,0.6727939694441085,0.2214455597210465,0.2806678291397061,7.5292262929032745
7,leave_one_sequence_out,mitomycin,coord_contact,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.872444639626735,4.179801869674966,0.3144676905712097,0.7018180352319909,0.1918571370983997,0.29172611272649157,7.915579493419209
7,leave_one_sequence_out,mitomycin,coord_reliability,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.843187349204545,4.177381555563671,0.312169952029669,0.7021808360543395,0.19282460595799578,0.29072835301118244,7.839247279280062
7,leave_one_sequence_out,mitomycin,full_real,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.759882521524039,4.150590007956693,0.33204337485387186,0.7182650058451243,0.17484580965050192,0.2984976534418408,8.231511473658651
7,leave_one_sequence_out,mitomycin,full_zero_state,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.921636583443553,4.189655341241251,0.3117265288023542,0.6971016245414601,0.19558592332809288,0.28151356702180624,7.879769670465325
7,leave_one_sequence_out,mitomycin,full_row_shuffled,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.769775043614426,4.155018007793941,0.33744507598661666,0.7224976821058572,0.1700286209537631,0.280497963804472,8.182053618729139
7,leave_one_sequence_out,mitomycin,full_wrong_cell,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.884862303403967,4.184699827252133,0.3120087072197364,0.699238118273068,0.1943765872535978,0.2815959424221701,7.855715049205685
7,leave_one_sequence_out,mitomycin,full_time_shuffled,current_frame_cell_diameter,48549,24807,0.08011253392028993,4.785474186751379,4.156130082811279,0.33220461966380455,0.718426250655057,0.1746845648405692,0.30068568790522915,8.15942243785704
7,leave_one_sequence_out,y27632,coord_only,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.319768797321764,3.1316323124567864,0.9445302683886383,0.98442810356547,0.2644791859770541,0.34351464052411645,9.885362476778187
7,leave_one_sequence_out,y27632,coord_shape,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.3105447406259585,3.1245120151477725,0.947166779954273,0.9871470061175307,0.26715689303590184,0.3512418003319978,9.965003332718005
7,leave_one_sequence_out,y27632,coord_actin,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.298532407388763,3.115046913198193,0.933613462687182,0.9833364229953243,0.25847494284125316,0.26636065847647566,9.483035133625176
7,leave_one_sequence_out,y27632,coord_contact,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.3160351145450817,3.128614560321848,0.9469608024882078,0.9853961976559764,0.2661785000720921,0.36421736030387175,9.91002101031136
7,leave_one_sequence_out,y27632,coord_reliability,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.4283203264715807,3.225249031836965,0.9615646048322314,0.9888360213392655,0.27520031308574844,0.3433915956976207,11.35181378102624
7,leave_one_sequence_out,y27632,full_real,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.3241227448327346,3.1365044726681655,0.9454983624791448,0.9870852128777112,0.266291787678428,0.32128341278355754,10.008211969330443
7,leave_one_sequence_out,y27632,full_zero_state,current_frame_cell_diameter,46207,48549,0.16420529998113712,3.3202477420763867,3.131762444043136,0.9448598323343427,0.98442810356547,0.2646439679499063,0.3518633533133324,9.89482365237504
