seed,protocol,fold,packet,evaluation_scale,n_val,n_test,mean_val_rmse_model_scale,gaussian_component_nll,student_t4_component_nll,coverage50,coverage90,coverage_error,uncertainty_error_spearman,mean_sigma
42,leave_one_sequence_out,lisa,full_row_shuffled,pixels,24807,46207,15.180083190127018,3.90907767905096,3.7110651026412436,0.7878892808448936,0.930270305364988,0.1590797931049408,0.2765958282745851,13.134141003876886
42,leave_one_sequence_out,lisa,full_wrong_cell,pixels,24807,46207,15.180083190127018,3.909787707865563,3.7093499579386826,0.7840803341485056,0.9296643365723808,0.1568723353604432,0.2703837759280467,13.034558397078063
42,leave_one_sequence_out,lisa,full_time_shuffled,pixels,24807,46207,15.180083190127018,3.9056530836631067,3.7007930007753864,0.7741684160408596,0.9258337481333997,0.15000108208712964,0.2816552095834887,12.684933962605442
123,chronological,all_sequences,coord_only,pixels,26363,29400,9.192638777576608,3.5609077005797714,3.2479863895990166,0.7135034013605442,0.9054421768707483,0.10947278911564629,0.5483212146215444,7.840707882658618
123,chronological,all_sequences,coord_shape,pixels,26363,29400,9.192638777576608,3.452641652588688,3.199843853554756,0.6981292517006803,0.9133333333333333,0.1057312925170068,0.6174552930603975,7.688622481396343
123,chronological,all_sequences,coord_actin,pixels,26363,29400,9.192638777576608,3.462759224465432,3.2075765728819547,0.6974829931972789,0.9107482993197279,0.10411564625850339,0.6069272400785253,7.645230805389386
123,chronological,all_sequences,coord_contact,pixels,26363,29400,9.192638777576608,3.551593102413597,3.2434480198814892,0.7087074829931973,0.9043197278911564,0.10651360544217686,0.5532680146313311,7.765672033460898
123,chronological,all_sequences,coord_reliability,pixels,26363,29400,9.192638777576608,3.4493760593334803,3.203476130867191,0.7026190476190476,0.9140816326530612,0.10835034013605438,0.6146812355563778,7.730170458830718
123,chronological,all_sequences,full_real,pixels,26363,29400,9.192638777576608,3.4194802637484414,3.1838048809631494,0.6930272108843537,0.9163945578231293,0.10471088435374148,0.6387266207328958,7.642167218075765
123,chronological,all_sequences,full_zero_state,pixels,26363,29400,9.192638777576608,3.5626741493073633,3.246509082459267,0.7115646258503401,0.903639455782313,0.10760204081632652,0.5505329860056528,7.771083618409895
123,chronological,all_sequences,full_row_shuffled,pixels,26363,29400,9.192638777576608,3.5645230257216673,3.24868656244935,0.710578231292517,0.9039455782312925,0.10726190476190473,0.5468298428898828,7.754378787031744
123,chronological,all_sequences,full_wrong_cell,pixels,26363,29400,9.192638777576608,3.4676072807677993,3.2088328590703465,0.6948639455782313,0.9103061224489796,0.10258503401360541,0.601844779944543,7.585988573241044
123,chronological,all_sequences,full_time_shuffled,pixels,26363,29400,9.192638777576608,3.4535103452384797,3.203112178073512,0.6969047619047619,0.9097619047619048,0.10333333333333333,0.6110742905710734,7.629027095797153
123,leave_one_sequence_out,mitomycin,coord_only,pixels,48549,24807,5.421191674904375,4.699070870407163,4.124249400633705,0.36888781392348935,0.739509009553755,0.14580158826137785,0.269143621306629,8.44337742555031
123,leave_one_sequence_out,mitomycin,coord_shape,pixels,48549,24807,5.421191674904375,4.428368329181649,4.051927423712729,0.44164953440561133,0.7961462490426089,0.0811021082758899,0.2762804885715917,9.528268506188581
123,leave_one_sequence_out,mitomycin,coord_actin,pixels,48549,24807,5.421191674904375,4.831470964148272,4.160467300397233,0.3348651590276938,0.7124198814850647,0.17635747974362073,0.2520700725301893,7.99882490194924
123,leave_one_sequence_out,mitomycin,coord_contact,pixels,48549,24807,5.421191674904375,4.690192543915938,4.122334757303006,0.3678800338614101,0.7401539887934857,0.1459829886725521,0.27476835221471035,8.451450917627923
