outer_group,validation_group,variant,fit_kind,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent,drift_observed_cosine,drift_shuffled_cosine,first_order_energy_decrease_fraction,shuffled_energy_decrease_fraction,first_order_energy_change_mean,quadratic_r,gradient_k_transverse,gradient_k_longitudinal,quartic_g,boundary_h,bounded_below_effective_functional
cn03_1_4/island03,cn03_1_4/island01,helmholtz_unconstrained,unconstrained,6225,0.09765722694432079,0.01,0.0,0.15566362257833186,0.1556636259508103,-0.4437743386965822,0.5754793887824711,0.9506701985398642,7.574819689901509,0.6586819087063618,-0.0061521095200342225,0.8718072289156626,0.49927710843373496,-0.1233078885323768,1.3167248911466156,12.09337568991437,6.136568316887983,-0.0,0.0,True
cn03_1_4/island03,cn03_1_4/island01,potential_unconstrained,unconstrained,6225,0.09714442617029563,0.01,0.0,0.15451261464233176,0.1545126179672334,-0.4225021634534467,0.578801121956747,0.9537037015227742,8.258229958489716,0.658887039231614,-0.006469070148395486,0.8713253012048193,0.4984738955823293,-0.12516166897365674,1.2784111492800863,9.712784572152819,4.8332841785917635,0.10595217911451053,0.0,True
cn03_1_4/island03,cn03_1_4/island01,potential_constrained,constrained,6225,0.09714442617029562,0.01,0.0,0.15451261464233174,0.15451261796723337,-0.42250216345344627,0.5788011219567469,0.953703701522774,8.258229958489732,0.658887039231614,-0.006469070148395466,0.8713253012048193,0.4984738955823293,-0.12516166897365683,1.278411149280086,9.712784572153247,4.833284178591708,0.10595217911450999,0.0,True
cn03_1_4/island03,cn03_1_4/island01,potential_boundary_constrained,constrained,6225,0.09714439362146425,0.01,0.0,0.15451292889198387,0.1545129322168834,-0.4225079496638864,0.5787032887833731,0.9536636233332174,8.25804337295706,0.6588754687739681,-0.006440591216533507,0.8711646586345382,0.49815261044176706,-0.1251616288392364,1.278412837571142,9.71279264630432,4.833481004227486,0.10595057514365036,0.0002102639656816712,True
cn03_1_4/island03,cn03_1_4/island01,advective_unconstrained,unconstrained,6225,0.09719086096083657,0.01,0.01,0.1537135098197859,0.1537135131419452,-0.40782648317715076,0.5790999764120911,0.9521135002745178,8.732697947480734,0.6589240006408258,-0.006532995496453796,0.8706827309236947,0.49783132530120483,-0.1253157382284869,1.2782877711013227,9.671944408156854,4.915882813740068,0.10441838762405044,0.0,True
cn03_1_4/island04,cn03_1_4/island03,helmholtz_unconstrained,unconstrained,7278,0.155641867830202,0.01,0.0,0.08132919265360404,0.08132919258831872,-0.19075838820976987,0.4724564518394221,0.9023188052294074,10.377151298821017,0.732427681795364,-0.0046920601447891395,0.9113767518549052,0.4983511953833471,-0.027758328233393872,1.3143776176190574,12.356108537181875,6.512689485116962,-0.0,0.0,True
cn03_1_4/island04,cn03_1_4/island03,potential_unconstrained,unconstrained,7278,0.15447543485304507,0.01,0.0,0.0810668911902498,0.08106689116152664,-0.1830899498184151,0.47062525308142855,0.9074790166145146,10.666201273858718,0.7327532462529526,-0.004914061051290275,0.9116515526243474,0.4975267930750206,-0.027922451458960003,1.2770941786137495,10.026997871404992,5.270352356324415,0.09895620759760385,0.0,True
cn03_1_4/island04,cn03_1_4/island03,potential_constrained,constrained,7278,0.15447543485304507,0.01,0.0,0.0810668911902498,0.08106689116152666,-0.18308994981841553,0.4706252530814284,0.9074790166145149,10.666201273858704,0.7327532462529526,-0.00491406105129027,0.9116515526243474,0.4975267930750206,-0.02792245145895999,1.2770941786137464,10.026997871405104,5.270352356324294,0.0989562075976072,0.0,True
cn03_1_4/island04,cn03_1_4/island03,potential_boundary_constrained,constrained,7278,0.1544758869980122,0.01,0.0,0.08106699097388712,0.08106699094516996,-0.18309286230454913,0.47059032755588215,0.9074751466217079,10.666091314641328,0.7327554489903729,-0.0049033947239532595,0.9117889530090684,0.49766419345974167,-0.027922435645144145,1.27709494265092,10.027007263485983,5.270452498423794,0.09895548296286233,0.00011127155882623454,True
cn03_1_4/island04,cn03_1_4/island03,advective_unconstrained,unconstrained,7278,0.1536668872298293,0.01,0.0,0.08110185756178837,0.0811018575278481,-0.18411076800041992,0.4704521092209058,0.9072407957066249,10.627669164308328,0.7328801856593976,-0.00496766778103355,0.9113767518549052,0.4973893926902995,-0.027832228331788438,1.2764010926200837,9.939969239485519,5.357620572855915,0.09851038986027377,0.0,True
cn03_5_8/island05,cn03_5_8/island06,helmholtz_unconstrained,unconstrained,7166,0.09455619535335434,0.01,0.0,0.08352750649894805,0.08352750596922041,0.05829540626830043,0.5229908448588619,0.9206606047570586,9.76553260153872,0.7289266032846348,-0.0070014078150149395,0.9048283561261513,0.498744069215741,-0.02904605497857347,1.313366844358453,12.761441798969974,6.257331678847238,-0.0,0.0,True
