method,contract,horizon,component_rmse,vector_rmse,r2,cosine,magnitude_ratio,n_rows,test_movie,seed,evaluation,fit_movies,validation_movies,confirmation_movies,windows,component_r2,vector_r2
gru_track,streaming_receding_h1,4,6.446577548980713,9.116837501525879,0.8420673296938361,0.8889666199684143,0.8169038891792297,13868.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.838995456695557,11.086012840270996,0.8806130975279107,0.9190398454666138,0.8117721676826477,13126.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.258329391479492,4.607973575592041,0.5307619702694979,0.7242447137832642,0.7929013967514038,14986.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.558650970458984,6.446906089782715,0.7241755060840718,0.8203967213630676,0.8157625198364258,14607.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.245541572570801,8.83253002166748,0.8444449062399244,0.8871604204177856,0.8225418925285339,13853.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.520984172821045,10.63627815246582,0.8837641186262416,0.9157838225364685,0.8185669779777527,13110.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,1,3.3508028984069824,4.73875093460083,0.4867310870571455,0.7293901443481445,0.8688011765480042,14984.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,2,4.796916484832764,6.783864498138428,0.6915253963179958,0.7975935935974121,0.891188383102417,14610.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,4,6.632124900817871,9.379240989685059,0.8249001474707496,0.8606073260307312,0.9049341678619385,13863.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,6,7.729684829711914,10.931425094604492,0.877873148565356,0.8931357860565186,0.9055601358413696,13117.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,1,3.5370466709136963,5.002139091491699,0.44660424561834056,0.7126016020774841,0.8650463223457336,14994.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,2,4.940258979797363,6.986581325531006,0.6757726395954079,0.7980440855026245,0.8913309574127197,14618.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,4,6.652650356292725,9.408268928527832,0.823481019551431,0.8644868731498718,0.9062483310699463,13870.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,6,7.725954532623291,10.926149368286133,0.8782390263585309,0.897418200969696,0.905869722366333,13124.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,1,3.6512928009033203,5.163707733154297,0.3927628234718099,0.6560766696929932,0.8448784947395325,14989.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,2,4.884026527404785,6.9070563316345215,0.6623961039047491,0.7822766304016113,0.8826774954795837,14617.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,4,6.574656009674072,9.297967910766602,0.8135893435203284,0.854906439781189,0.9015166163444519,13879.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,6,7.501347541809082,10.608508110046387,0.8742506734397406,0.8909496665000916,0.9048804640769958,13145.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,1,3.922168254852295,5.546783924102783,0.37726157443112995,0.6554065942764282,0.8319430351257324,14992.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,2,5.215885162353516,7.376375198364258,0.6545078043241077,0.7780026793479919,0.8729144334793091,14615.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,4,6.890606880187988,9.744790077209473,0.816543481028132,0.8554463386535645,0.8906732797622681,13864.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
kalmannet,streaming_receding_h1,6,7.946848392486572,11.238540649414062,0.8743017952319592,0.8904154896736145,0.8921006321907043,13118.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
