test_movie,control,objective,packet,horizon,windows,component_rmse,vector_rmse,component_r2,vector_r2,r2,baseline_component_rmse,baseline_vector_rmse,baseline_component_r2,baseline_vector_r2,baseline_r2,component_rmse_delta,rmse_improvement_percent,selected_alpha,selected_bound_px,validation_score,contract,objective_name,variant,protocol,validation_h1_gain,h1_guard_percent
6,wrong_cell,h1_strict,update_only,2,12638,5.77796125973853,8.171271176388561,0.6776954097870671,0.6827567104278148,0.6827567104278148,5.573299625323043,7.881835917300736,0.70023705483519,0.7048328807683156,0.7048328807683156,-0.20466163441548701,-3.6721807219116505,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_wrong_cell,strict_fold_local_streaming,-3.3174492843456345,3.35
6,wrong_cell,h1_strict,update_only,4,11997,7.828085685399702,11.070584943710944,0.8135457220656916,0.81721258538964,0.81721258538964,7.530094699831211,10.64916205045506,0.82744091818483,0.8308640120212161,0.8308640120212161,-0.29799098556849124,-3.957333837716155,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_wrong_cell,strict_fold_local_streaming,-3.3174492843456345,3.35
6,wrong_cell,h1_strict,update_only,6,11361,9.198288785110625,13.008344750527787,0.8610640778588634,0.8645253567627565,0.8645253567627565,8.82927379872645,12.486478752064361,0.8719082504757827,0.8751772045352936,0.8751772045352936,-0.36901498638417607,-4.179448896888932,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_wrong_cell,strict_fold_local_streaming,-3.3174492843456345,3.35
6,stale_time,h1_strict,update_only,1,12960,4.313069956844039,6.09960202843278,0.4329766114248502,0.4375588126492874,0.4375588126492874,4.150787287998501,5.870099677213318,0.47567001595961017,0.4790871537273188,0.4790871537273188,-0.16228266884553832,-3.9096840571608915,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_stale_time,strict_fold_local_streaming,-3.3174492843456345,3.35
6,stale_time,h1_strict,update_only,2,12638,5.765229247951844,8.153265392643537,0.6785704196554807,0.6841532912965838,0.6841532912965838,5.573299625323043,7.881835917300736,0.70023705483519,0.7048328807683156,0.7048328807683156,-0.19192962262880098,-3.443734152686547,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_stale_time,strict_fold_local_streaming,-3.3174492843456345,3.35
6,stale_time,h1_strict,update_only,4,11997,6.855466751352964,9.695094056161183,0.8568270121270458,0.859812527296156,0.859812527296156,7.530094699831211,10.64916205045506,0.82744091818483,0.8308640120212161,0.8308640120212161,0.6746279484782471,8.959089830482066,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_stale_time,strict_fold_local_streaming,-3.3174492843456345,3.35
6,stale_time,h1_strict,update_only,6,11361,7.518781313929375,10.633162506676321,0.9069053570254518,0.9094811886998043,0.9094811886998043,8.82927379872645,12.486478752064361,0.8719082504757827,0.8751772045352936,0.8751772045352936,1.3104924847970745,14.842585185047747,3000.0,3.0,0.9396701650561708,streaming_receding_h1,lambda_03,lambda_03_stale_time,strict_fold_local_streaming,-3.3174492843456345,3.35
6,real,h1_strict,update_only,1,12960,4.192976975217192,5.92976490507027,0.46448803105738024,0.4684439483451306,0.4684439483451306,4.150787287998501,5.870099677213318,0.47567001595961017,0.4790871537273188,0.4790871537273188,-0.04218968721869132,-1.0164261450033274,3000.0,3.0,0.9220601607682076,streaming_receding_h1,lambda_04,lambda_04_real,strict_fold_local_streaming,-3.873260232920066,4.300000000000001
6,real,h1_strict,update_only,2,12638,5.012069204682742,7.088136244814867,0.7573796931393009,0.7612863182382354,0.7612863182382354,5.573299625323043,7.881835917300736,0.70023705483519,0.7048328807683156,0.7048328807683156,0.5612304206403005,10.069984719469844,3000.0,3.0,0.9220601607682076,streaming_receding_h1,lambda_04,lambda_04_real,strict_fold_local_streaming,-3.873260232920066,4.300000000000001
6,real,h1_strict,update_only,4,11997,6.106637581536153,8.636089688305665,0.8866405375631894,0.8887655169357426,0.8887655169357426,7.530094699831211,10.64916205045506,0.82744091818483,0.8308640120212161,0.8308640120212161,1.4234571182950582,18.9035752541992,3000.0,3.0,0.9220601607682076,streaming_receding_h1,lambda_04,lambda_04_real,strict_fold_local_streaming,-3.873260232920066,4.300000000000001
