objective_name,variant,horizon,movies,component_rmse_mean,component_rmse_std,component_r2_mean,vector_rmse_mean,vector_r2_mean,gain_vs_no_update_percent
lambda_06,lambda_06_real,1,6,3.69352148063825,0.3803067143161876,0.44184669970999235,5.223428170834969,0.4430618951638278,-6.307793611586651
lambda_06,lambda_06_real,2,6,4.199445600069519,0.4910619426115194,0.77701842994402,5.9389129220663355,0.7783054651003609,10.535889483728385
lambda_06,lambda_06_real,4,6,5.084943336000908,0.6958038269707488,0.8986904663345537,7.191195829671174,0.8994801536034059,21.725237563320334
lambda_06,lambda_06_real,6,6,5.784695286293917,0.8152720790105316,0.9301991023054704,8.18079452807257,0.9309533775795171,26.18334158154538
lambda_06,lambda_06_stale_time,1,6,3.6993102745397537,0.4020105407354258,0.4407005969828583,5.231614761680258,0.44233321312475565,-6.428536940396968
lambda_06,lambda_06_stale_time,2,6,5.038435275098936,0.48293268483826296,0.678606600756794,7.125423499183931,0.6805634625760789,-7.588239197572384
lambda_06,lambda_06_stale_time,4,6,5.843596933360815,0.6409375006494823,0.8664557102684766,8.264094036200692,0.8675645076375611,9.853537449203236
lambda_06,lambda_06_stale_time,6,6,6.486368195885507,0.7471205110916274,0.9125565318801078,9.173109873166787,0.9135037108283446,17.086313388904177
lambda_06,lambda_06_wrong_cell,1,6,3.745746753814877,0.39488181802283184,0.4262440209024409,5.297285860459994,0.4275402505438686,-7.777359275161596
lambda_06,lambda_06_wrong_cell,2,6,5.014076265774785,0.4746704513274746,0.6818962658308955,7.090974657831744,0.6836391802948286,-7.060392800846963
lambda_06,lambda_06_wrong_cell,4,6,6.930767909989842,0.6010591708283655,0.81220040210163,9.801585975967866,0.8135782661900829,-7.163815986498108
lambda_06,lambda_06_wrong_cell,6,6,8.358956717246755,0.6676404303836688,0.85507585577323,11.821349956820045,0.8564181265310623,-7.195699214625438
lambda_07,lambda_07_real,1,6,3.7203769123820187,0.4013962066988331,0.43412603992161203,5.26140748663039,0.43534520834373697,-7.033056262536121
lambda_07,lambda_07_real,2,6,4.192603603819616,0.47896377842210724,0.7776864111476037,5.929236878176014,0.7789664715289679,10.660540800753838
lambda_07,lambda_07_real,4,6,5.042530783450265,0.6548283363490152,0.9002877208035295,7.131215422639193,0.9010428291016868,22.326117829837262
lambda_07,lambda_07_real,6,6,5.710519445775847,0.7657792359826469,0.9318726538940268,8.075894048411493,0.9325845552213902,27.074095280993575
lambda_07,lambda_07_stale_time,1,6,3.7176519835167645,0.421118572486134,0.4354205800045288,5.257553855272646,0.43715081660453836,-6.917500262418058
lambda_07,lambda_07_stale_time,2,6,5.071547546786404,0.5186634251654302,0.674569002335053,7.172251322885333,0.676593546883825,-8.242678749799017
lambda_07,lambda_07_stale_time,4,6,5.83505050263667,0.6327616730454019,0.8668398529382261,8.252007557960724,0.8679424769880103,9.976364213962848
lambda_07,lambda_07_stale_time,6,6,6.4459234888674395,0.7162669071929297,0.9135997311427061,9.115912419975631,0.9145207071455141,17.574526003054263
lambda_07,lambda_07_wrong_cell,1,6,3.7723433455221467,0.4156820892102315,0.4184773502265919,5.334899121165314,0.41977459861432687,-8.496088050499196
lambda_07,lambda_07_wrong_cell,2,6,5.035936897876236,0.4992835697049243,0.679299943049473,7.121890260231663,0.6810596727871486,-7.489801545692202
