objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_vs_prior_percent_mean,movies_improved_vs_prior,sign_flip_p
h1_strict,field4_start,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,1.0
h1_strict,field4_start,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,1.0
h1_strict,field4_start,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,1.0
h1_strict,field4_start,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,1.0
h1_strict,field4_start,real,1,6,3.475332305350578,0.3798401165756847,4.914862079980142,0.507487520204643,0.059274750396304844,4,0.90625
h1_strict,field4_start,real,2,6,4.381834066537297,0.5341980179295526,6.196849164965496,0.7585640727337561,6.681730148507197,6,0.03125
h1_strict,field4_start,real,4,6,5.725976155249935,0.7209521318526094,8.097753136579408,0.8724978999644359,11.756133521274789,6,0.03125
h1_strict,field4_start,real,6,6,6.772053309328851,0.8415004377923234,9.57712963516646,0.9053555275287666,13.444368752742342,6,0.03125
h1_strict,field4_start,stale_time,1,6,3.5600383894251326,0.4310461633590838,5.034654572893893,0.48399059452766596,-2.2643588866075146,0,0.03125
h1_strict,field4_start,stale_time,2,6,4.761878231442364,0.4940047102264883,6.734312777275,0.7148366377545722,-1.5731001474898776,0,0.03125
h1_strict,field4_start,stale_time,4,6,6.084128524323379,0.696038784263218,8.604257074319127,0.8562468016585533,6.167359264271357,6,0.03125
h1_strict,field4_start,stale_time,6,6,7.098084505943722,0.8286258882086536,10.038207375175944,0.8962020889547678,9.244354781279975,6,0.03125
h1_strict,field4_start,wrong_cell,1,6,3.5239823329300535,0.3868614428079527,4.983663608792862,0.4937784071917637,-1.3384608149557886,2,0.21875
h1_strict,field4_start,wrong_cell,2,6,4.8168299187583345,0.5131689743156207,6.81202619875253,0.708307347343429,-2.7220805090718776,0,0.03125
h1_strict,field4_start,wrong_cell,4,6,6.683944316827795,0.6487853808835078,9.452524703004439,0.8266740863874708,-3.232297168565818,0,0.03125
h1_strict,field4_start,wrong_cell,6,6,8.10389942518127,0.7264202658501614,11.460644475198881,0.8650503823864392,-3.817773627966026,0,0.03125
h6_guard10,dense_start,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,1.0
h6_guard10,dense_start,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,1.0
h6_guard10,dense_start,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,1.0
h6_guard10,dense_start,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,1.0
h6_guard10,dense_start,real,1,6,3.8079649327152563,0.417558922642508,5.3852756528870644,0.4079878705272236,-9.532741053158263,0,0.03125
h6_guard10,dense_start,real,2,6,4.180735110335249,0.4818032143967764,5.912452293725487,0.7803309467767185,10.918950684900457,6,0.03125
h6_guard10,dense_start,real,4,6,4.92497815384113,0.6430861782151398,6.964970899553333,0.9058703966542829,24.158739664171705,6,0.03125
h6_guard10,dense_start,real,6,6,5.500748634593833,0.7157250217982892,7.779233322247884,0.9377208553285478,29.763802339504462,6,0.03125
h6_guard10,dense_start,stale_time,1,6,3.770638188282591,0.4167465662575329,5.332487664671156,0.4207462305204867,-8.457399238212874,0,0.03125
h6_guard10,dense_start,stale_time,2,6,5.16490252504072,0.5089336369911218,7.30427519924763,0.6644373179625108,-10.254309520939158,0,0.03125
h6_guard10,dense_start,stale_time,4,6,5.809879819356435,0.6327487073134463,8.216410836291617,0.8691534527235575,10.362628755907489,6,0.03125
h6_guard10,dense_start,stale_time,6,6,6.329805008851781,0.6931912758350323,8.951696090695336,0.9177094697466287,19.05359910398853,6,0.03125
h6_guard10,dense_start,wrong_cell,1,6,3.8598074562030007,0.430448584378074,5.4585920527110785,0.392242378814564,-10.991069846513527,0,0.03125
h6_guard10,dense_start,wrong_cell,2,6,5.112840041717516,0.4701884585895169,7.230647729241134,0.6709391483642365,-9.185013808667962,0,0.03125
h6_guard10,dense_start,wrong_cell,4,6,7.053546647413768,0.5807075146452889,9.975221331603827,0.806814680051255,-9.090163743843904,0,0.03125
h6_guard10,dense_start,wrong_cell,6,6,8.485953647611764,0.634381851459372,12.000950738121993,0.851978494225019,-8.852096876620472,0,0.03125
h6_guard10,field4_start,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,1.0
h6_guard10,field4_start,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,1.0
h6_guard10,field4_start,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,1.0
h6_guard10,field4_start,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,1.0
h6_guard10,field4_start,real,1,6,3.813223819400923,0.41955682968868363,5.392712841760918,0.4063618677070378,-9.68102423515471,0,0.03125
h6_guard10,field4_start,real,2,6,4.181251752908483,0.4849895981820702,5.913182936659454,0.7802921710533776,10.913851719066145,6,0.03125
