outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_5_8/island05,mechanics_source_pde,real,stress_div,0.0035215267463070267,14.757997247207612,0.00023861820051317202,0.09463879306626695,100.0,0.01
cn03_5_8/island05,mechanics_source_pde,real,force_balance,-0.002280046090289982,31.476983695862923,-7.243534235428195e-05,0.09463879306626695,100.0,0.01
cn03_5_8/island05,mechanics_source_pde,time_shuffled,u_prev,-0.0360683456700596,0.11517366365448377,-0.31316487229461715,0.09457902491578982,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,time_shuffled,lap_u,0.009810197787808912,0.0007680091269847473,12.773543234211775,0.09457902491578982,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,time_shuffled,grad_div_u,0.0037584318729784647,0.0006004488123404242,6.259370983396373,0.09457902491578982,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,time_shuffled,stress_div,0.00221992190285935,14.757997247207612,0.00015042162331879995,0.09457902491578982,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,time_shuffled,force_balance,-0.0018229297175433108,31.476983695862923,-5.791310041511067e-05,0.09457902491578982,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,u_prev,-0.03608909745600984,0.11517366365448377,-0.3133450505167192,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,lap_u,0.009801885316848795,0.0007680091269847473,12.762719832942118,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,grad_div_u,0.0037577228830836065,0.0006004488123404242,6.258190216809301,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,traction,0.01034114960045267,83.85463620758348,0.00012332233574841335,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,stress_div,0.010063172595191336,14.757997247207612,0.00068187928393166,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,spatial_shifted,force_balance,-0.020442917262122415,31.476983695862927,-0.0006494560425371782,0.09455651978220138,10.0,0.0
cn03_5_8/island05,mechanics_source_pde,wrong_island,u_prev,-0.036065718087099324,0.11517366365448377,-0.3131420581991295,0.09455728518702924,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,wrong_island,lap_u,0.009810953380247655,0.0007680091269847473,12.774527066841097,0.09455728518702924,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,wrong_island,grad_div_u,0.003759809804714776,0.0006004488123404242,6.261665819705467,0.09455728518702924,100.0,0.03
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,u_prev,-0.002618175593781966,0.11517366365448377,-0.022732415647004026,0.10275433052691353,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,lap_u,0.002941928898750938,0.0007680091269847472,3.830591063808237,0.10275433052691353,100.0,0.0
