representation,detrend,control,lag,geometry,distance_bin,distance_low_nn,distance_high_nn,mean_distance_nn_mean,mean_distance_nn_ci_low,mean_distance_nn_ci_high,mean_distance_px_mean,mean_distance_px_ci_low,mean_distance_px_ci_high,vector_correlation_mean,vector_correlation_ci_low,vector_correlation_ci_high,direction_correlation_mean,direction_correlation_ci_low,direction_correlation_ci_high,structure_function_mean,structure_function_ci_low,structure_function_ci_high,longitudinal_correlation_mean,longitudinal_correlation_ci_low,longitudinal_correlation_ci_high,transverse_correlation_mean,transverse_correlation_ci_low,transverse_correlation_ci_high,harmonic_c0_mean,harmonic_c0_ci_low,harmonic_c0_ci_high,harmonic_c1_mean,harmonic_c1_ci_low,harmonic_c1_ci_high,harmonic_c2_mean,harmonic_c2_ci_low,harmonic_c2_ci_high,n_movies
gaussian_score,none,real,4,endpoint,3,2.0,3.0,2.5314343905679486,2.5280130174306583,2.535842000019434,197.1753602766863,192.89064043152376,200.12465330303897,-0.003393165516711761,-0.025570579113626642,0.01664596273302437,-0.0018753004435140704,-0.02392807974215727,0.019927973785858588,0.9972413439989706,0.9754797538197149,1.021817446613754,-0.002931449352421842,-0.015855977408740927,0.008050377763170875,-0.00046171616428992057,-0.011298237961032203,0.008914221261121224,-0.003198422960607136,-0.025739400758785506,0.016901904921821666,0.002465949211066796,0.001065979829119727,0.0038332055431160774,0.0021983499148584295,-0.0021960355949502356,0.0064942594192566,7
gaussian_score,none,real,4,endpoint,4,3.0,4.0,3.520585063973057,3.517296859338912,3.523775070136972,274.2347352179612,268.03812382500604,278.69215192222487,-0.00898961526057237,-0.032169850838200835,0.011153503919367357,-0.008113223956055677,-0.030783985868924214,0.013274339611182578,1.007915420522191,0.9842007123043676,1.033540820439595,-0.006166392824304605,-0.018321391366043178,0.0049315148703334205,-0.0028232224362677596,-0.012898585932481598,0.006535058318180415,-0.008796292145560923,-0.032272521486534714,0.011699034344082707,0.0034568103733020367,0.0010246979901620118,0.005581866104516312,-0.0007070287748201597,-0.003349484028385359,0.001206480920015739,7
gaussian_score,none,real,4,endpoint,5,4.0,6.0,5.053250343615018,5.046559672660982,5.059095515292242,393.6129172712397,384.8083399358655,400.04522871283024,-0.011247566222556158,-0.03229624567313852,0.008738987693247812,-0.009919798647370952,-0.031147320863605815,0.01009525844581517,1.0108169021015823,0.9894181329453717,1.0336296287219857,-0.0073240953666580625,-0.01859063365416913,0.003136073105420016,-0.003923470855898098,-0.014382217687921181,0.005890011592953149,-0.011059930095250475,-0.03385245980715651,0.009813945055628158,0.0015053720789638765,-0.0008217295715861162,0.004091176371596464,0.0006729485665697072,-0.00020443920489793003,0.0016126662755557596,7
gaussian_score,none,real,4,endpoint,6,6.0,8.0,7.042142814746162,7.0354837704078745,7.048336067851601,548.5433969129768,535.9908278018681,557.4534924911325,-0.010391028694390977,-0.03309159471378049,0.010812140671591744,-0.008127206983129118,-0.03013211144737196,0.013867487310516213,1.0093306900225218,0.989470912769753,1.0298333284476364,-0.0047551867502243885,-0.01615714271525711,0.00583129522907187,-0.00563584194416659,-0.01623320568496508,0.004520571875921535,-0.010223690517943234,-0.031989232564060575,0.010704773828407118,0.0012666129658889678,-0.0018505500381542893,0.004581641333298281,0.0004570960376419191,-0.0010222080343174707,0.0020107397989926204,7
gaussian_score,none,real,4,endpoint,7,8.0,12.0,10.074288470786229,10.067435884188047,10.08167605434021,784.7191250602103,767.3714947368355,797.475965866679,-0.010083378389839725,-0.03284295092789237,0.010801907640713973,-0.009326209863352988,-0.03152632411494989,0.011273390714816048,1.0121686904729763,0.9934162412621567,1.0333004929028935,-0.005052264352437149,-0.016408608221367395,0.005007204077281871,-0.005031114037402576,-0.016182845159727552,0.0051487700985983825,-0.009787998234911017,-0.03106972834318909,0.01052968167356576,0.0008439685905837673,-0.001570403216489541,0.003127675683328766,-0.001164099138225787,-0.0020792316126593104,-0.0002980700296022896,7
gaussian_score,none,real,4,start,0,0.0,1.0,0.6818873312172725,0.6704874036524249,0.6928556117100025,53.13626561738109,51.17765490622373,54.598469270031806,0.012582973971731146,-0.00762847641826041,0.03069546751044331,0.01212563172432369,-0.008006515837284543,0.03036771740922912,0.9750555474080559,0.9545766402772491,1.000751296525695,0.007077082369330491,-0.004733477354884193,0.017678162068558972,0.005505891602400654,-0.0032205439783602337,0.01352462392738,0.012971800997295595,-0.007099303152042239,0.030218472183229147,0.00626538565679593,-0.00044080489171769127,0.013366080889962911,0.0030032104206277658,-0.004712323590187118,0.011772789591044566,7
gaussian_score,none,real,4,start,1,1.0,1.5,1.2662500163671775,1.2638604478077933,1.2684813427592838,98.63501457434897,96.46188649035673,100.29266527790854,0.012997795465904063,-0.013002180414686636,0.03591152121682666,0.007461319319786129,-0.015613506957265816,0.02893280651395178,0.9792256147160912,0.9596307450507758,1.0034650441482784,0.005883195279292182,-0.008228368193694427,0.01803664200180071,0.00711460018661188,-0.004411151490686424,0.016868840347812837,0.012902863630704349,-0.01288456957907141,0.03421434248104046,0.0035298646468842625,-0.000902674305275207,0.008174273286913662,-0.005611883262245362,-0.014021751731889392,0.000988137107703303,7
gaussian_score,none,real,4,start,2,1.5,2.0,1.7617464648179577,1.760386476832714,1.763284003881534,137.23256912977635,134.10404688031912,139.51153734731568,0.0063917850582233034,-0.01695438536233577,0.027232253192508393,0.004664684974773279,-0.0172305368969705,0.02676861326908664,0.9854513936578975,0.9618996260855501,1.0094690693053798,0.00350408912418707,-0.008076597022996618,0.0137548176339764,0.002887695934036235,-0.00982086525150835,0.014356168254706989,0.006216808477662186,-0.01680994782468459,0.0272382318847718,-0.0023072621276112306,-0.009079575599033985,0.004307148085568784,-0.0006773386494806753,-0.005140833326951918,0.00370220403781042,7
gaussian_score,none,real,4,start,3,2.0,3.0,2.531949318550552,2.529267801409009,2.5353831080297886,197.21567690370043,192.72822823807618,200.20255883002525,-0.003256030856170238,-0.026777473475865142,0.01715239001929451,-0.001962414636546131,-0.024830640465648972,0.01895352234074835,0.9971869715416828,0.9740331935092646,1.0215079447394486,-0.003339388467071519,-0.015455413324909137,0.007561185746304799,8.335761090128124e-05,-0.010610900286097283,0.00976702147354555,-0.0031139814416438027,-0.026200164898910916,0.01734239607380791,0.0016700661625358277,-0.00025306158932707814,0.003962725232986174,0.001990405084736193,-0.0028078373650923384,0.00718097423521757,7
gaussian_score,none,real,4,start,4,3.0,4.0,3.520451390986898,3.5175675167495384,3.5235548135940618,274.22326034908764,267.7368044190234,278.7381347790567,-0.009827759533283338,-0.03291247413174871,0.010803735420026193,-0.00860877401711708,-0.0316063554794929,0.013084983726962849,1.0081834854885185,0.9840216464909913,1.0339110116286707,-0.006481296403582991,-0.01898316896065772,0.004779548396197385,-0.0033464631297003464,-0.013820831857141832,0.006102529135931654,-0.009588199692649733,-0.032457230413908376,0.010480599873209566,0.0035257643821015898,0.0012108756444592762,0.00555077752370743,-0.00096413959018443,-0.003308885787824935,0.0009188941257246076,7
gaussian_score,none,real,4,start,5,4.0,6.0,5.052869663066079,5.046261794252379,5.058371189466574,393.5832594681973,384.9374298278103,400.0108924700402,-0.01116338009697398,-0.03242414912458016,0.009497806504415738,-0.009696342436460573,-0.03195495952567694,0.010929013209906227,1.0103246687094267,0.988607365752104,1.0332071273625707,-0.007199417364885936,-0.01820918181203063,0.003169866386696475,-0.003963962732088044,-0.01444844020021262,0.006021697974915778,-0.010951642061406048,-0.032056398079304126,0.009610193774409425,0.0017806419520880329,-0.0005452257772157902,0.004278201835112706,0.0006028169838412679,-0.00025507628818718757,0.0015280329941239528,7
gaussian_score,none,real,4,start,6,6.0,8.0,7.042084358140536,7.0355534972844245,7.048387683434139,548.5385459882124,536.0021412306446,557.3777557137545,-0.010339473379757057,-0.03267503343590338,0.010409448292915785,-0.00821046535389317,-0.029880052477107222,0.012889542083557705,1.0091874501150457,0.9893410045467211,1.0303768114467597,-0.004707673294531427,-0.01620906424402325,0.0059914855026046996,-0.005631800085225634,-0.016584820585200433,0.0047339483094078665,-0.010186669612729382,-0.032658591566810675,0.011037117655697311,0.001147707268205759,-0.0023509377198747076,0.004622990923657234,0.0006098242718855447,-0.0010087460747217449,0.0022543107147966557,7
gaussian_score,none,real,4,start,7,8.0,12.0,10.074142190624869,10.067277298086251,10.081474078600793,784.7065195404006,766.7823339836992,797.2893879317071,-0.010111924538722422,-0.03238595442985132,0.00980654558471528,-0.009365685474626155,-0.031625980789885176,0.011277041602557065,1.0121991011801996,0.9936550812278183,1.0337376860942158,-0.005097342997759729,-0.01668525891158117,0.005341721009456274,-0.005014581540962694,-0.01611464405260456,0.005603454219364627,-0.009786188981217091,-0.03219211759391281,0.011072604957442706,0.0009919389255528335,-0.0013749222301775888,0.003155621356623603,-0.0011815430032708844,-0.0021186892657610455,-0.00026908447894158935,7
gaussian_score,none,real,5,endpoint,0,0.0,1.0,0.6817412228399989,0.6703520733984503,0.6928306581807311,53.159717318021684,51.20946825938546,54.62468622409467,0.016774860423959478,-0.003886165711487349,0.03905236656135486,0.014891748616674022,-0.008100843079606275,0.038199932981065506,0.9723195944636525,0.9552424176211001,0.9911508017517192,0.006166322806984893,-0.005545249281455217,0.020276563386498647,0.010608537616974587,0.001436216434713281,0.01909613533928719,0.01616371949773598,-0.004804071948382879,0.037710449253924416,0.00544140866743952,-9.59412759255588e-05,0.011378896256711112,-0.000574144734841726,-0.007399399736596935,0.005637575721712613,7
gaussian_score,none,real,5,endpoint,1,1.0,1.5,1.2662564389612576,1.263800027533876,1.2684525264481479,98.69929200117076,96.57312999373038,100.30161579039104,0.018628535616074488,-0.002219852073656472,0.04149758248067696,0.01776309561844378,-0.005740677852795841,0.041094832691268145,0.9734091874382977,0.948475693593954,0.9989250197970437,0.010274390474482652,-0.0007798285139694478,0.021175309677833803,0.008354145141591838,-0.0018732533834153603,0.01906840340675427,0.018741667942041036,-0.0017046003884758042,0.04209221164178902,0.006434084550950881,0.0015775418391395404,0.0111462929525634,-0.00033995216845265637,-0.004902399697981562,0.0034318808684303008,7
gaussian_score,none,real,5,endpoint,2,1.5,2.0,1.7617871075788523,1.760435142965451,1.7633522316647952,137.3250232367031,134.11318362874727,139.6290643089454,0.014860756001366668,-0.004323580941832074,0.0345601249850754,0.011699596144859908,-0.008324050942279015,0.03358852042732689,0.9783714200654987,0.9580435380530273,0.9988280663128196,0.008474212761786087,-0.00024463196556623177,0.01733991909991181,0.006386543239580579,-0.004232944123422878,0.015943467785034398,0.015287034434108516,-0.0038137444982447566,0.03442903537454037,0.004355692327851849,-0.003600518210961498,0.012025237882952478,-0.003787859223803993,-0.007559867386865302,-0.0004743843438147849,7
gaussian_score,none,real,5,endpoint,3,2.0,3.0,2.5319263186792953,2.5291999828117646,2.5353849116023524,197.34231937985706,192.893319596966,200.28924937900297,0.014639795538583735,-0.006125227837123769,0.03560985645496636,0.013824405730770028,-0.00863574151717518,0.03538004330533066,0.9799348498796554,0.9607183637167598,0.9983293999491512,0.007436971687031676,-0.0019384433749253269,0.017986512881794394,0.00720282385155206,-0.002951062426672877,0.017939468639321277,0.01483071895037921,-0.006096432644902046,0.03654623581203202,0.004194792309259955,0.0016487404775432576,0.006705858163709064,0.000421188198531961,-0.003674591658772175,0.005275784024533059,7
