movie,method,neighbor_k,n_rows,n_directed_neighbor_pairs,mean_neighbor_distance_px,error_energy,frame_mean_energy_fraction,neighbor_dot,random_same_frame_dot,neighbor_dot_excess,neighbor_dot_excess_normalized,neighbor_cosine,random_same_frame_cosine,neighbor_cosine_excess,neighbor_component_corr,random_same_frame_component_corr,neighbor_component_corr_excess
5,imm_cv_ca_turn,1,14154,14154,22.65809537417309,25.903513487257847,0.05355650304431689,10.160743884085893,1.293412777561593,8.8673311065243,0.3423215584590953,0.4414234213273874,0.08664541693742989,0.3547780043899575,0.38372206486144894,0.04938501918926383,0.33433704567218514
6,imm_cv_ca_turn,1,12960,12960,23.131100534142515,46.177765340811035,0.2270245933642781,23.615304718144507,10.350402023129279,13.264902695015229,0.28725735420747955,0.5654411302833162,0.27656194423743874,0.2888791860458775,0.5119549579404551,0.22358462294591266,0.28837033499454245
1,kalman_cv,1,14446,14446,22.558321494344337,31.072020899706835,0.07484187031792651,11.518875042596227,2.2386360470744,9.280238995521827,0.298668664824739,0.44819624990475165,0.11616291420156952,0.33203333570318216,0.3653107591177843,0.07194714135429964,0.2933636177634847
2,kalman_cv,1,13633,13633,22.810095317496152,25.275074046520682,0.11812217145241824,11.233692513976278,2.926503707514391,8.307188806461888,0.3286711956282256,0.5141370913114297,0.19893564782065076,0.31520144349077894,0.43462619441202377,0.11516613175560775,0.319460062656416
3,kalman_cv,1,12799,12799,23.55132968254307,27.789948895419936,0.05201545965123438,11.671736988320196,1.3875250703819884,10.284211917938208,0.37006947931570866,0.45687661269215113,0.08464108532969844,0.3722355273624527,0.415823894093534,0.04967703296121473,0.36614686113231926
4,kalman_cv,1,13260,13260,22.92339222223951,39.892929256380775,0.25944431206139545,20.605056591651373,10.26768696998822,10.337369621663152,0.25912786587386827,0.5597634232901433,0.27717986960361385,0.28258355368652943,0.5180646795833344,0.25807747835404843,0.2599872012292859
5,kalman_cv,1,14154,14154,22.65809537417309,26.113458653595075,0.055022233365810816,10.733523826228117,1.4479606369374696,9.285563189290647,0.35558534441826195,0.4579759976144772,0.09184785763064163,0.3661281399838356,0.4023904297933957,0.055308252246245415,0.34708217754715026
6,kalman_cv,1,12960,12960,23.131100534142515,46.037309326927215,0.24503015481347476,25.197727139613335,11.18874917105198,14.008977968561355,0.304296193095879,0.5948629005805172,0.2898653055997935,0.30499759498072365,0.5476862271648895,0.24212940282900422,0.30555682433588527
1,v52_rolling,1,14446,14446,22.558321494344337,25.42782696897474,0.08618552474846514,10.84618057342475,2.1408785267393804,8.70530204668537,0.3423533618231307,0.4659614503086882,0.11912808710460251,0.34683336320408564,0.42370105682072967,0.08291679697036108,0.3407842598503686
2,v52_rolling,1,13633,13633,22.810095317496152,21.913866981325626,0.1831314089351111,11.420517135006937,3.9719868750055656,7.448530260001371,0.3399003136392494,0.5393153437106771,0.23196918546684117,0.30734615824383593,0.5041062711645599,0.16904505904290673,0.33506121212165313
3,v52_rolling,1,12799,12799,23.55132968254307,21.952531144612532,0.07590123139479961,9.51100311836431,1.5479152600804786,7.9630878582838305,0.36274121675659654,0.45947324751506874,0.11668345254387781,0.34278979497119094,0.42154228681031153,0.0588727162252636,0.36266957058504795
4,v52_rolling,1,13260,13260,22.92339222223951,31.59554558278658,0.26663533660191224,17.109247761367296,8.298186786798144,8.811060974569152,0.27887035378080205,0.5756311061771604,0.3083594598908561,0.2672716462863043,0.5323610210542857,0.24888468074269215,0.2834763403115936
5,v52_rolling,1,14154,14154,22.65809537417309,20.732588520899547,0.06695183508636786,9.569637414626214,1.3352323501194492,8.234405064506765,0.3971720683216207,0.4883635118682411,0.09668277116621894,0.3916807407020222,0.4519660577596818,0.06301763113046682,0.38894842662921497
6,v52_rolling,1,12960,12960,23.131100534142515,36.634132357106466,0.2775286574791319,21.624684097996266,10.108058552661365,11.5166255453349,0.31436872676748,0.6031437334359225,0.3169080082201453,0.2862357252157772,0.5871739537094679,0.27337567689822534,0.31379827681124256
1,v97,1,14446,14446,22.558321494344337,23.659887793857557,0.09024889932257964,9.497509510411648,2.0672075456542793,7.430301964757369,0.3140463737400471,0.4487631465439505,0.13303455078939966,0.3157285957545508,0.3981528290363611,0.08614686823359546,0.31200596080276566
2,v97,1,13633,13633,22.810095317496152,19.17416592945476,0.15249927983861147,8.909617180696996,2.8497119539431526,6.059905226753843,0.3160453106043484,0.4989211044521988,0.2199276808258145,0.2789934236263843,0.4549519725767877,0.14787245850886183,0.3070795140679259
3,v97,1,12799,12799,23.55132968254307,21.07106052057742,0.06965072214559118,8.609420024321276,1.3713176287006632,7.238102395620612,0.3435091645506917,0.43159037767054975,0.11124166278822632,0.3203487148823234,0.4015493849599137,0.06090149135945674,0.340647893600457
4,v97,1,13260,13260,22.92339222223951,29.97064562605361,0.27425140648103863,15.700260808005151,8.110958024305008,7.589302783700143,0.253224534379157,0.5542435622215792,0.2929002254690315,0.26134333675254773,0.5225187024392982,0.26983288685122897,0.25268581558806924
5,v97,1,14154,14154,22.65809537417309,19.152958311586143,0.06641229436846988,8.150111772815588,1.2287361753432526,6.921375597472336,0.3613737097357648,0.45475914516050714,0.10751914011808061,0.3472400050424265,0.4165012083104059,0.06331855066765328,0.3531826576427526
6,v97,1,12960,12960,23.131100534142515,34.458070220419906,0.2563644596628235,19.463226983393053,8.78835522510091,10.674871758292143,0.3097930815628264,0.5730905172935908,0.29468953835284334,0.2784009789407475,0.562850635704302,0.25470679602082097,0.3081438396834811
1,constant_velocity,4,14446,57784,29.743575020227702,35.59734187200214,0.08895675043643285,10.553062534825264,3.088038135613997,7.465024399211266,0.2097073547247814,0.39643853974481347,0.16129365292560813,0.23514488681920534,0.2938479522931374,0.08680674511779571,0.20704120717534172
2,constant_velocity,4,13633,54532,30.023456628182224,28.722950642843564,0.14650592088221095,10.31077660702555,4.109071533326905,6.201705073698646,0.21591462349442936,0.47700997418229407,0.2680919402421092,0.20891803394018488,0.35745298892437183,0.14260104421677053,0.2148519447076013
3,constant_velocity,4,12799,51196,31.10311958004152,30.868571207879523,0.05983896450486551,9.299374112688369,1.7497189300944551,7.549655182593914,0.244574170011043,0.3597433193485878,0.12165057648308755,0.23809274286550022,0.29901933950003534,0.056745425844068165,0.24227391365596718
4,constant_velocity,4,13260,53040,30.19687496121376,47.05353929305513,0.3087545265103765,22.262475277750003,14.444376487626943,7.818098790123059,0.16615325664305494,0.5345538363185467,0.3389894076826111,0.1955644286359356,0.4763211947012972,0.307865052182153,0.1684561425191442
5,constant_velocity,4,14154,56616,29.963900612365446,29.11091688072845,0.06571867327971224,8.960264148745429,1.828274248832081,7.131989899913348,0.24499365406916315,0.38670570695804396,0.12431063886783456,0.2623950680902094,0.3064503270322975,0.06265583437809909,0.24379449265419845
6,constant_velocity,4,12960,51840,30.543748565018156,52.99342514624229,0.28654235842000286,25.313757928517816,15.08552154578287,10.228236382734947,0.19300953570200058,0.5557907100184042,0.35329222821309786,0.20249848180530633,0.4803267306056547,0.28427813652852313,0.19604859407713154
1,imm_cv_ca_turn,4,14446,57784,29.743575020227702,31.602345886356275,0.06981224685557567,9.4512664072477,2.1066743287082295,7.344592078539471,0.2324065468098798,0.38241898455772644,0.11527766396896941,0.26714132058875706,0.29702160300693803,0.06663485197450748,0.23038675103243056
2,imm_cv_ca_turn,4,13633,54532,30.023456628182224,24.861424418121448,0.11054467786930332,8.705304436932558,2.639857841771482,6.065446595161076,0.24397019628288,0.44061144530647955,0.18998418340719733,0.2506272618992822,0.3492075255074687,0.10569378317814561,0.2435137423293231
3,imm_cv_ca_turn,4,12799,51196,31.10311958004152,28.369750533505414,0.05236046007132957,8.888122528265933,1.4611110719283498,7.427011456337583,0.26179332974980124,0.357868732246812,0.09482009438864608,0.2630486378581659,0.31255338449089975,0.05133252360180068,0.26122086088909907
4,imm_cv_ca_turn,4,13260,53040,30.19687496121376,40.120018852628235,0.24680037614756128,17.732837658487718,9.809162868418479,7.923674790069239,0.19749927883072677,0.5004765349600584,0.2722993890470074,0.228177145913051,0.44490111240155633,0.2438226903675872,0.20107842203396914
5,imm_cv_ca_turn,4,14154,56616,29.963900612365446,25.903513487257847,0.05355650304431689,8.21011276175107,1.3514078880335576,6.858704873717512,0.2647789411691725,0.38114374627378955,0.09041948896171875,0.2907242573120708,0.3157311160153959,0.05162206287417301,0.2641090531412229
6,imm_cv_ca_turn,4,12960,51840,30.543748565018156,46.177765340811035,0.2270245933642781,20.723712514477864,10.374919511619915,10.34879300285795,0.22410770478994751,0.5191938929211306,0.276855523221869,0.2423383696992616,0.45103555047447685,0.2243560018078894,0.22667954866658746
1,kalman_cv,4,14446,57784,29.743575020227702,31.072020899706835,0.07484187031792651,9.7993773698181,2.190573115140948,7.6088042546771515,0.24487638828631647,0.3946458002427225,0.11387122719520187,0.2807745730475206,0.31320172607744184,0.07030281144830025,0.2428989146291416
2,kalman_cv,4,13633,54532,30.023456628182224,25.275074046520682,0.11812217145241824,9.309729981703448,2.9133145606089657,6.396415421094483,0.25307207446045055,0.4601626278714942,0.1982467130778874,0.26191591479360676,0.3671493900396299,0.11460713072972455,0.2525422593099053
3,kalman_cv,4,12799,51196,31.10311958004152,27.789948895419936,0.05201545965123438,9.792879927124952,1.3573733537809116,8.43550657334404,0.3035452351887663,0.39668299743827784,0.08474225803336845,0.3119407394049094,0.3514289196665092,0.048878293220273115,0.3025506264462361
4,kalman_cv,4,13260,53040,30.19687496121376,39.892929256380775,0.25944431206139545,18.629831265569326,10.296383563524001,8.333447702045325,0.20889535708166657,0.5195102347149101,0.27460078498738383,0.24490944972752626,0.47016833597662483,0.25812427650965336,0.21204405946697147
5,kalman_cv,4,14154,56616,29.963900612365446,26.113458653595075,0.055022233365810816,8.73524458468099,1.3401009523253058,7.395143632355683,0.2831928060719595,0.3990456981201399,0.09026814001566043,0.3087775581044795,0.33305457726077087,0.051152510317912216,0.28190206694285863
6,kalman_cv,4,12960,51840,30.543748565018156,46.037309326927215,0.24503015481347476,22.29863666748631,11.183609681793948,11.115026985692362,0.241435200019198,0.546212250429357,0.2882003729153231,0.25801187751403387,0.4874552121543374,0.24300410415591744,0.24445110799841996
1,v52_rolling,4,14446,57784,29.743575020227702,25.42782696897474,0.08618552474846514,9.209340091744306,2.124400488650473,7.084939603093833,0.27862937763963797,0.41581469657549613,0.1180372931095662,0.29777740346592996,0.3595346122694684,0.08174766767688872,0.2777869445925797
2,v52_rolling,4,13633,54532,30.023456628182224,21.913866981325626,0.1831314089351111,9.846602401360816,3.941610561302425,5.904991840058391,0.26946370739087067,0.4900092328370487,0.23040238925802028,0.2596068435790284,0.44018327095074744,0.1674255811491219,0.2727576898016255
3,v52_rolling,4,12799,51196,31.10311958004152,21.952531144612532,0.07590123139479961,7.982818781145651,1.6137854521766755,6.369033328968976,0.2901275159120787,0.4020519628260161,0.1197055482017511,0.28234641462426496,0.35492444467811185,0.06203145176774663,0.2928929929103652
4,v52_rolling,4,13260,53040,30.19687496121376,31.59554558278658,0.26663533660191224,15.393615287051887,8.335648139409681,7.057967147642206,0.22338487965491638,0.5312177055705691,0.3108569314426772,0.22036077412789196,0.4812505467435122,0.24948729725419383,0.23176324948931837
5,v52_rolling,4,14154,56616,29.963900612365446,20.732588520899547,0.06695183508636786,7.946094840351784,1.3607839386928828,6.585310901658901,0.3176309072560119,0.4303471009882433,0.09760606847985759,0.3327410325083857,0.380845090965483,0.06413112334918093,0.3167139676163021
6,v52_rolling,4,12960,51840,30.543748565018156,36.634132357106466,0.2775286574791319,19.03767622566981,10.053102079048417,8.984574146621393,0.2452514518165877,0.5553471259505562,0.3184024715056111,0.23694465444494517,0.5212942495071188,0.2721966185982189,0.24909763090889986
1,v97,4,14446,57784,29.743575020227702,23.659887793857557,0.09024889932257964,8.052248456310513,2.0688364906628456,5.983411965647668,0.25289266026025053,0.399492685618397,0.13203030940525998,0.26746237621313707,0.3378604427476153,0.08647795468762047,0.2513824880599948
2,v97,4,13633,54532,30.023456628182224,19.17416592945476,0.15249927983861147,7.471236327155307,2.8519782085277487,4.619258118627558,0.24091051134232633,0.44860006329474456,0.21980172215113886,0.2287983411436057,0.38841283992039366,0.14763934235143203,0.24077349756896163
3,v97,4,12799,51196,31.10311958004152,21.07106052057742,0.06965072214559118,7.139979921668231,1.4226993485537287,5.717280573114502,0.2713333089016171,0.37343195416690955,0.11420188340476864,0.2592300707621409,0.3349664006173042,0.06321178407628493,0.2717546165410193
4,v97,4,13260,53040,30.19687496121376,29.97064562605361,0.27425140648103863,14.193913155911979,8.114277691676165,6.079635464235814,0.20285300290464084,0.5072000443505353,0.29378473587441134,0.213415308476124,0.4757014961490608,0.2694400641683917,0.2062614319806691
5,v97,4,14154,56616,29.963900612365446,19.152958311586143,0.06641229436846988,6.567798398656508,1.204641558931409,5.363156839725098,0.2800171520490795,0.3953123257441035,0.10564975784043051,0.289662567903673,0.3408698426478426,0.06159186440422425,0.27927797824361833
6,v97,4,12960,51840,30.543748565018156,34.458070220419906,0.2563644596628235,16.88954110605434,8.766490348704057,8.123050757350285,0.23573725125606576,0.5250423448059094,0.29186370239278203,0.23317864241312736,0.4934528625049661,0.2535771365883997,0.23987572591656642
1,constant_velocity,8,14446,115568,38.43388289074941,35.59734187200214,0.08895675043643285,8.409538242777593,3.054977971368955,5.354560271408638,0.15042022774234395,0.34262171836664035,0.16049203223838732,0.18212968612825303,0.23618916867409825,0.08570658964737206,0.15048257902672618
2,constant_velocity,8,13633,109064,38.84348827850842,28.722950642843564,0.14650592088221095,8.657778821577269,4.117378138413114,4.540400683164155,0.15807570536961574,0.42562497619945844,0.26774580575119783,0.1578791704482606,0.29907275665801986,0.14296964645123186,0.156103110206788
