method,neighbor_k,n_rows_mean,n_rows_std,n_directed_neighbor_pairs_mean,n_directed_neighbor_pairs_std,mean_neighbor_distance_px_mean,mean_neighbor_distance_px_std,error_energy_mean,error_energy_std,frame_mean_energy_fraction_mean,frame_mean_energy_fraction_std,neighbor_dot_mean,neighbor_dot_std,random_same_frame_dot_mean,random_same_frame_dot_std,neighbor_dot_excess_mean,neighbor_dot_excess_std,neighbor_dot_excess_normalized_mean,neighbor_dot_excess_normalized_std,neighbor_cosine_mean,neighbor_cosine_std,random_same_frame_cosine_mean,random_same_frame_cosine_std,neighbor_cosine_excess_mean,neighbor_cosine_excess_std,neighbor_component_corr_mean,neighbor_component_corr_std,random_same_frame_component_corr_mean,random_same_frame_component_corr_std,neighbor_component_corr_excess_mean,neighbor_component_corr_excess_std
kalman_cv,8,13542.0,658.8380681168932,108336.0,5270.704544935145,39.09497421487964,0.6137798935685846,32.696790179758416,8.424879342458192,0.13407936694371003,0.09463051847832249,11.147084224915957,5.663500056698818,4.888834222328716,4.564565761895715,6.25825000258724,1.3332818718467598,0.1941179525646313,0.022745716465168177,0.3945963852868677,0.07337947288736428,0.175908418781904,0.09140823734139777,0.2186879665049637,0.021075655434676672,0.32642373393525315,0.0813632991202533,0.13138988234657759,0.09496783043996727,0.19503385158867556,0.022288247325256222
kalman_cv,16,13542.0,658.8380681168932,216672.0,10541.40908987029,53.15649620692076,0.8453092077706186,32.696790179758416,8.424879342458192,0.13407936694371003,0.09463051847832249,9.189930711974961,5.440562051434254,4.878311563982813,4.567238167305724,4.311619147992147,1.0398635264369653,0.13303804166641708,0.014757869972296849,0.33394046029485164,0.07919169153324848,0.17552362506109587,0.09153158917364157,0.1584168352337557,0.01520990872846008,0.2646230720376122,0.08801370050559336,0.13099267239243687,0.09502837951261237,0.13363039964517534,0.01485876810843007
v52_rolling,1,13542.0,658.8380681168932,13542.0,658.8380681168932,22.938722437489776,0.36125706815858327,26.376081925950917,6.398402433679266,0.15938899904096462,0.09684631445615975,13.346878350130963,4.93200438698284,4.567043058567397,3.7529824284810016,8.779835291563565,1.4306288638517042,0.3392343401814799,0.04045153888207934,0.5219813988359597,0.05990283338734555,0.19828849406542362,0.10056845567784092,0.323692904770536,0.045554654422237696,0.4868084412198394,0.06618714846549267,0.14935209350165263,0.09563493481325355,0.33745634771818683,0.03681711012627886
v52_rolling,4,13542.0,658.8380681168932,54168.0,2635.3522724675727,30.262445894508133,0.49104686626892197,26.376081925950917,6.398402433679266,0.15938899904096462,0.09684631445615975,11.569357937887375,4.581039004195791,4.571555109880092,3.732521995819924,6.997802828007283,1.0694119283982746,0.27074797327835054,0.0332586147903199,0.47079797079132163,0.06411493351912431,0.1991684503329139,0.10087434010050997,0.27162952045840766,0.04125348361385362,0.4230053691857403,0.06897727645763095,0.14950328996589182,0.09476520119529945,0.2735020792198484,0.030331158975696833
v52_rolling,8,13542.0,658.8380681168932,108336.0,5270.704544935145,39.09497421487964,0.6137798935685846,26.376081925950917,6.398402433679266,0.15938899904096462,0.09684631445615975,9.98310434305474,4.4214955393438595,4.5747182711799,3.749641328278428,5.40838607187484,0.8521946085815746,0.20927806673033159,0.027466615151671224,0.41329091278693153,0.07099445017831102,0.19853951507297285,0.10081522563203141,0.21475139771395865,0.03503734897049683,0.361934061945741,0.07592257644161259,0.14951045347910713,0.09544866385940222,0.21242360846663388,0.025852549659218568
v52_rolling,16,13542.0,658.8380681168932,216672.0,10541.40908987029,53.15649620692076,0.8453092077706186,26.376081925950917,6.398402433679266,0.15938899904096462,0.09684631445615975,8.363283130930673,4.227558513237054,4.567662775696918,3.750979995568875,3.795620355233755,0.6354890423374498,0.14698704670606655,0.022455799064169647,0.35350638318111244,0.07713283174422371,0.19875746854262058,0.1010782409826225,0.1547489146384918,0.028513915408423043,0.2983170134290419,0.08250500090744625,0.14925431983973927,0.09555993151916051,0.14906269358930263,0.021805357804855388
v97,1,13542.0,658.8380681168932,13542.0,658.8380681168932,22.938722437489776,0.36125706815858327,24.581131400324903,6.300323961401185,0.15157117696985237,0.09354822299306424,11.721691046607285,4.712908833518506,4.069381092174544,3.4481346458382105,7.652309954432741,1.576751284248062,0.3163320290954726,0.036872672370076034,0.49356130889039607,0.058972600151337255,0.19321879972389933,0.08790095360430979,0.3003425091664967,0.03254075812912585,0.4594207888378448,0.06876627504837021,0.14712984194026954,0.09466570005003684,0.31229094689757525,0.0348524284946061
v97,4,13542.0,658.8380681168932,54168.0,2635.3522724675727,30.262445894508133,0.49104686626892197,24.581131400324903,6.300323961401185,0.15157117696985237,0.09354822299306424,10.052452894292813,4.363170426293141,4.071487274509326,3.438601534970337,5.980965619783487,1.1750519367802672,0.24729064778566334,0.027674347593332718,0.4415132363300999,0.06305141335319593,0.19288868517813187,0.08741437382481478,0.24862455115196802,0.028364784462501895,0.3952106474311971,0.07217736217513254,0.14698969104605886,0.09415794836375385,0.24822095638513827,0.026130733829049662
v97,8,13542.0,658.8380681168932,108336.0,5270.704544935145,39.09497421487964,0.6137798935685846,24.581131400324903,6.300323961401185,0.15157117696985237,0.09354822299306424,8.583616825203483,4.206980019068965,4.080120571530077,3.441790954638788,4.503496253673408,0.9554398516137742,0.18564304138270424,0.01984909616244998,0.38398753190132323,0.06896560216135217,0.19308929117310614,0.0877550278869702,0.19089824072821704,0.023688939174009528,0.334709647914552,0.07980933760772121,0.14729768691994455,0.09426285262082734,0.18741196099460744,0.019175248113713905
v97,16,13542.0,658.8380681168932,216672.0,10541.40908987029,53.15649620692076,0.8453092077706186,24.581131400324903,6.300323961401185,0.15157117696985237,0.09354822299306424,7.1014145686742784,4.005509724333745,4.069201726744274,3.4314894739187762,3.0322128419300043,0.7273662222280459,0.12453723272870215,0.014760455622050046,0.3251119602464576,0.0738851726571434,0.19271592458581477,0.08777171065497524,0.13239603566064284,0.01843435513563355,0.27265244304895014,0.08587073473913154,0.1470063254526227,0.09409136831534315,0.12564611759632746,0.014891125135273929
