objective_name,packet_name,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,v97_component_rmse_mean,gain_vs_v97_percent_mean,movies_improved_vs_v97,sign_flip_p,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
h1_strict,full,real,4,7,5.004290980040691,0.19304357755720233,7.077136174034893,0.9004700046527342,5.602715480152857,10.693256017340035,7,0.015625,0.5984711438407622,0.578469855671166,0.6143464501696267,1.0
h1_strict,full,real,6,7,5.681860930665063,0.21860602588794498,8.03536478766435,0.9339636335727486,6.496100228503578,12.544555830896613,7,0.015625,0.8141573034800089,0.7787829210061484,0.8436492445829353,1.0
h1_strict,full,stale_time,1,7,3.5539879637876837,0.24448474508313692,5.026097978899281,0.44889765753076066,3.420378932523928,-3.8979706352780217,0,0.015625,-0.13365228883956867,-0.16721528038706593,-0.1093803166785071,0.0
h1_strict,full,stale_time,2,7,4.499488825323188,0.16229188897944943,6.363238120518239,0.7330174833432386,4.3704799043987395,-2.9814145115419715,0,0.015625,-0.12884140179926443,-0.15195008410492128,-0.1035109167091397,0.0
h1_strict,full,stale_time,4,7,5.332778850298145,0.22329620202571382,7.541688175228037,0.886960567891082,5.602715480152857,4.8393588173809885,7,0.015625,0.26994795916797476,0.23702957337569622,0.2997787847647008,1.0
h1_strict,full,stale_time,6,7,5.932438112859225,0.24319610798481997,8.389734437144565,0.928004123920332,6.496100228503578,8.693632835145484,7,0.015625,0.5634492654674693,0.521831906673474,0.6029952904762244,1.0
h1_strict,full,v97_no_update,1,7,3.420378932523928,0.2282849131315589,4.837146274830549,0.4899134428720919,3.420378932523928,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,full,v97_no_update,2,7,4.3704799043987395,0.19088461483858346,6.180791954879765,0.7481035821221543,4.3704799043987395,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,full,v97_no_update,4,7,5.602715480152857,0.1870238879192177,7.923436218149855,0.8752971361036341,5.602715480152857,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,full,v97_no_update,6,7,6.496100228503578,0.2160690211475596,9.18687304568472,0.9137298669609993,6.496100228503578,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,full,wrong_cell,1,7,3.4215707480676874,0.17940774496017878,4.83883175653638,0.49006972209643207,3.420378932523928,-0.11996392937006542,3,0.953125,-0.0010054149919142216,-0.04072001834318246,0.04241878155023835,0.46365
h1_strict,full,wrong_cell,2,7,4.478064447151007,0.18036562266786965,6.332939474341729,0.7356289452872813,4.3704799043987395,-2.4749929112460682,0,0.015625,-0.10756904195254093,-0.12170855460292682,-0.09304574613517858,0.0
h1_strict,full,wrong_cell,4,7,5.744170623582529,0.14781875920986676,8.123484000455532,0.8689646273150168,5.602715480152857,-2.5476036963562914,0,0.015625,-0.14144868145552408,-0.17288988553539855,-0.10817573342617719,0.0
h1_strict,full,wrong_cell,6,7,6.692234374463145,0.1745149496002017,9.464248614945205,0.9084654505390467,6.496100228503578,-3.0416166635942643,0,0.015625,-0.1959868855329187,-0.23669980476628286,-0.16168694444996895,0.0
h1_strict,local_only,constant_velocity,1,7,3.9884311513582857,0.27265862938983904,5.640493426842227,0.3062124846780082,3.420378932523928,-16.598936768679966,0,0.015625,-0.5681429892383781,-0.6025861483521656,-0.5356305704511675,0.0
h1_strict,local_only,constant_velocity,2,7,4.537854605402276,0.19000045528004286,6.417495527037111,0.7284556636527725,4.3704799043987395,-3.837086053789388,0,0.015625,-0.1673849651623265,-0.1784753626869924,-0.15774916984045553,0.0
h1_strict,local_only,constant_velocity,4,7,5.502760154346495,0.15424644338569465,7.782078040763079,0.8797342234508998,5.602715480152857,1.7677793458243343,7,0.015625,0.0999083027088211,0.0687173289388392,0.1333839769798956,1.0
h1_strict,local_only,constant_velocity,6,7,6.180445456988423,0.1521858397849435,8.740469786780208,0.9219210368698452,6.496100228503578,4.832443547169776,7,0.015625,0.3160101208835398,0.25985671241902775,0.37955407940442754,1.0
h1_strict,local_only,imm_cv_ca_turn,1,7,3.7692661884769456,0.21906751188674156,5.33054736393844,0.38096458529485094,3.420378932523928,-10.258852698786717,0,0.015625,-0.34878760320797747,-0.37101145074415826,-0.32214696011810445,0.0
h1_strict,local_only,imm_cv_ca_turn,2,7,4.928032550320766,0.17638838924264275,6.969290468479699,0.6799039978199726,4.3704799043987395,-12.793246652929893,0,0.015625,-0.5575169468983263,-0.5826076077411265,-0.5271321957812274,0.0
h1_strict,local_only,imm_cv_ca_turn,4,7,6.486481052290116,0.1569646888665218,9.173269476224785,0.8329681499535805,5.602715480152857,-15.811252521110697,0,0.015625,-0.8838548653994123,-0.9358491637406647,-0.8270502538192434,0.0
h1_strict,local_only,imm_cv_ca_turn,6,7,7.631675543784056,0.18953333622184992,10.792819057650478,0.8809993794220234,6.496100228503578,-17.51866987741915,0,0.015625,-1.135143352230659,-1.2053260386642042,-1.0651072614918786,0.0
h1_strict,local_only,kalman_ca,1,7,4.201152536187616,0.2459083431792253,5.941326894274653,0.23084825131484107,3.420378932523928,-22.885178364896724,0,0.015625,-0.7807585799987249,-0.7988693634237182,-0.7651579940276197,0.0
h1_strict,local_only,kalman_ca,2,7,5.538481218848481,0.20302144931362673,7.832595254644191,0.5955996248727703,4.3704799043987395,-26.758188962572607,0,0.015625,-1.1680998159669644,-1.184121720876745,-1.1516504534668088,0.0
h1_strict,local_only,kalman_ca,4,7,6.676050236108631,0.1639574494968819,9.441360786988929,0.8229894041302711,5.602715480152857,-19.190893049333663,0,0.015625,-1.0734007597809627,-1.112252914838354,-1.0313150742938162,0.0
h1_strict,local_only,kalman_ca,6,7,6.934950076944387,0.16782760675780786,9.807500453195088,0.9016893607363388,6.496100228503578,-6.78965405059978,0,0.015625,-0.43834572289119933,-0.5019967481721838,-0.37109473620916295,0.0
h1_strict,local_only,kalman_cv,1,7,3.7425560641384408,0.2129918902500256,5.292773543846253,0.38961565191379083,3.420378932523928,-9.480259971882772,0,0.015625,-0.32210990854407556,-0.3361172804594677,-0.3085051474903818,0.0
h1_strict,local_only,kalman_cv,2,7,4.9280303065330004,0.16449343858512216,6.96928729528461,0.6798814175216054,4.3704799043987395,-12.801029719429808,0,0.015625,-0.5574683557991233,-0.5810190034479101,-0.530088283611674,0.0
h1_strict,local_only,kalman_cv,4,7,6.531656804060133,0.14378492771088142,9.237157637068341,0.8306074155442056,5.602715480152857,-16.62403012158685,0,0.015625,-0.9290078626840943,-0.9815583126819512,-0.8681758180689457,0.0
h1_strict,local_only,kalman_cv,6,7,7.600179935035357,0.16539600900445958,10.748277540602869,0.881959791415507,6.496100228503578,-17.044532034404885,0,0.015625,-1.1034775126794345,-1.1775257317441503,-1.018816483212285,0.0
h1_strict,local_only,real,1,7,3.3595941689394517,0.1883592181369934,4.75118363778374,0.5083285488950392,3.420378932523928,1.7126723554316179,7,0.015625,0.06096201314198856,0.025739116945596812,0.1005224734408373,1.0
h1_strict,local_only,real,2,7,4.3573139856275,0.18717805141940455,6.162172533992376,0.7496613899919418,4.3704799043987395,0.2981864913173782,6,0.078125,0.013171998833847707,0.002626263405671736,0.02371995617688086,0.9935
h1_strict,local_only,real,4,7,5.500099995079923,0.15431737256886474,7.77831600745022,0.8798462451379644,5.602715480152857,1.816362528177237,7,0.015625,0.10263978957736021,0.07737207469902405,0.12885706114009757,1.0
h1_strict,local_only,real,6,7,6.345329339219705,0.17700178821116366,8.973650809248417,0.9177008371081287,6.496100228503578,2.304986024440381,7,0.015625,0.15088266750304244,0.11349649280641393,0.18176059384310467,1.0
h1_strict,local_only,stale_time,1,7,3.4928364449942157,0.25530493524572495,4.939616671661847,0.467471013230278,3.420378932523928,-2.0879414845227666,0,0.015625,-0.0725448635718939,-0.11545938869957537,-0.04235832921275235,0.0
h1_strict,local_only,stale_time,2,7,4.361016626964452,0.17479569087205674,6.167408859587697,0.7491631891841194,4.3704799043987395,0.2025480290034984,4,0.359375,0.009583279590648914,-0.00822977836220475,0.02724052129422868,0.85335
h1_strict,local_only,stale_time,4,7,5.630314694373007,0.2185689952985351,7.962467401210835,0.8740249480067044,5.602715480152857,-0.4782477766212854,2,0.109375,-0.027602323206750594,-0.05653556229004612,-0.003330045177779541,0.0104
h1_strict,local_only,stale_time,6,7,6.495771548120884,0.23462124168136356,9.18640822142983,0.9137147013296169,6.496100228503578,0.01114329016420379,3,1.0,0.0002270496553813334,-0.03089611327200562,0.029166280477571988,0.51545
h1_strict,local_only,v97_no_update,1,7,3.420378932523928,0.2282849131315589,4.837146274830549,0.4899134428720919,3.420378932523928,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,local_only,v97_no_update,2,7,4.3704799043987395,0.19088461483858346,6.180791954879765,0.7481035821221543,4.3704799043987395,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,local_only,v97_no_update,4,7,5.602715480152857,0.1870238879192177,7.923436218149855,0.8752971361036341,5.602715480152857,0.0,0,1.0,0.0,0.0,0.0,0.0
