movie,representation,detrend,control,control_repeat,lag,geometry,metric,unit,first_value,e_folding,first_zero,integral_positive,exponential_xi,exponential_amplitude,exponential_rmse,n_points
13,gaussian_score,affine,wrong_movie,0,3,start,vector_correlation,px,0.003048494196210336,68.6154064681781,76.34604356204312,121.6236011377575,728.1899709845144,0.003619456501325581,0.00029203919087435415,8
13,gaussian_score,affine,wrong_movie,0,3,start,direction_correlation,nearest_neighbour,0.011628366572307374,0.9831409804697077,1.1500639639402046,0.46529484771413077,0.43552030016185406,0.05752825835069659,0.0005531573899969789,8
13,gaussian_score,affine,wrong_movie,0,3,start,direction_correlation,px,0.011628366572307374,78.1053986903093,91.35899020582576,36.949149889725724,34.58616101430515,0.05758606444402698,0.0005531573892724047,8
13,gaussian_score,affine,wrong_movie,0,4,endpoint,vector_correlation,nearest_neighbour,-0.007805078551338984,,,,4.693123382044911,0.007414787669905852,0.002458392926295151,8
13,gaussian_score,affine,wrong_movie,0,4,endpoint,vector_correlation,px,-0.007805078551338984,,,,372.77547863246207,0.007414811281309657,0.0024584393904075875,8
13,gaussian_score,affine,wrong_movie,0,4,endpoint,direction_correlation,nearest_neighbour,0.0020817011500032646,2.2570156326264366,9.886615830855611,8.958970871401334,32.644547427711785,0.002754238954977735,0.00195510946854777,8
13,gaussian_score,affine,wrong_movie,0,4,endpoint,direction_correlation,px,0.0020817011500032646,179.27271878034003,785.3166461838416,711.624011182127,2593.204837501718,0.0027542255430286016,0.0019551108643851046,8
13,gaussian_score,affine,wrong_movie,0,4,start,vector_correlation,nearest_neighbour,-0.007686339643482229,,,,9.085492461375527,0.0052130370470264776,0.002180118691217087,8
13,gaussian_score,affine,wrong_movie,0,4,start,vector_correlation,px,-0.007686339643482229,,,,721.722882483643,0.005212904260116408,0.002180141362556857,8
13,gaussian_score,affine,wrong_movie,0,4,start,direction_correlation,nearest_neighbour,0.0006955891041131285,1.7513669388417576,,26.21209279228142,12.291982206054607,0.002836201654033421,0.002128520599023235,8
13,gaussian_score,affine,wrong_movie,0,4,start,direction_correlation,px,0.0006955891041131285,139.11847792608575,,2082.073367794306,976.3284125172461,0.0028362526521269467,0.002128516862675355,8
13,gaussian_score,affine,wrong_movie,0,5,endpoint,vector_correlation,nearest_neighbour,0.009859196638459815,1.0750649943007506,1.3121222099811567,1.4785190542975628,0.19704975608101793,0.33508372407817405,0.001955906455231885,8
13,gaussian_score,affine,wrong_movie,0,5,endpoint,vector_correlation,px,0.009859196638459815,85.4705920940593,104.30872908927735,117.52280419832655,15.658194081927586,0.33602246377707434,0.0019559070192163575,8
13,gaussian_score,affine,wrong_movie,0,5,endpoint,direction_correlation,nearest_neighbour,0.008589473200500247,0.919670329868372,1.0505345267421615,2.0598222513060964,2.562394984632084,0.011032705279235493,0.0011074820656531731,8
13,gaussian_score,affine,wrong_movie,0,5,endpoint,direction_correlation,px,0.008589473200500247,73.1230246338344,83.52141575575365,163.7350915915191,203.66848337467167,0.011034240061099989,0.0011075116653414614,8
13,gaussian_score,affine,wrong_movie,0,5,start,vector_correlation,nearest_neighbour,0.00938986496140369,1.0692233062709524,1.2918423910347114,1.6805990567590507,0.17795642254814478,0.4635052977091154,0.0021013475217503044,8
13,gaussian_score,affine,wrong_movie,0,5,start,vector_correlation,px,0.00938986496140369,85.0027669941243,102.69317644132438,133.58761825548007,14.140435940866897,0.4648946736076045,0.0021013477823263863,8
13,gaussian_score,affine,wrong_movie,0,5,start,direction_correlation,nearest_neighbour,0.007661134616651085,0.9317469691260313,1.0701734873005084,2.438746000544275,3.259225662655298,0.009370903759043156,0.0011976653556467303,8
13,gaussian_score,affine,wrong_movie,0,5,start,direction_correlation,px,0.007661134616651085,74.07895988159481,85.07826794581108,193.8571812207913,259.0652461073427,0.009371744171937937,0.0011976420046289126,8
13,gaussian_score,affine,wrong_movie,0,6,endpoint,vector_correlation,nearest_neighbour,-0.0030104421368385135,,,,1.4786548172509344,0.03507252253768545,0.0007349296651705432,8
13,gaussian_score,affine,wrong_movie,0,6,endpoint,vector_correlation,px,-0.0030104421368385135,,,,117.64918570698836,0.035069740467181226,0.0007349811479437123,8
13,gaussian_score,affine,wrong_movie,0,6,endpoint,direction_correlation,nearest_neighbour,-0.005562714329837248,,,,1.037993916840133,0.052604162356380685,0.0006056989317532569,8
13,gaussian_score,affine,wrong_movie,0,6,endpoint,direction_correlation,px,-0.005562714329837248,,,,82.58475382687654,0.05260113732548183,0.0006057536231476246,8
13,gaussian_score,affine,wrong_movie,0,6,start,vector_correlation,nearest_neighbour,-0.004619381350393171,,,,0.5097401961120405,0.2227281850450441,0.0009060000505940806,8
