variant,fit_mode,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,vector_r2_mean,gain_percent_mean,movies_improved,sign_flip_p
field3_start,refit,real,1,6,3.49662038193218,0.3868130244365895,4.944967966598681,0.5014462640453202,0.06678537962687603,2,0.78125
field3_start,refit,real,2,6,4.398489534927958,0.5445186696236017,6.220403554251245,0.7569040490200548,7.0079941167483595,6,0.03125
field3_start,refit,real,4,6,5.741481991469787,0.7299766225996949,8.11968170045746,0.8721032373489721,12.342590811526405,6,0.03125
field3_start,refit,real,6,6,6.798564897806258,0.830092205588995,9.614622683151264,0.9049460487569491,14.144455386516315,6,0.03125
field3_start,refit,stale_time,1,6,3.5813542954868187,0.4230987188464901,5.064799816340599,0.4774936051741159,-2.28396813448916,0,0.03125
field3_start,refit,stale_time,2,6,4.7905615451289725,0.4955223292404611,6.774877108504402,0.7114530837638512,-1.4601796167133154,1,0.0625
field3_start,refit,stale_time,4,6,6.102127198864289,0.687637217923963,8.629711043959622,0.8556280293032293,6.753932331122674,6,0.03125
field3_start,refit,stale_time,6,6,7.118527116750734,0.789343733695821,10.06711759262953,0.8958832267681855,10.05865836709435,6,0.03125
field3_start,refit,wrong_cell,1,6,3.55000424473277,0.4019784965921585,5.02046414938314,0.486519197634069,-1.4397126752373177,1,0.09375
field3_start,refit,wrong_cell,2,6,4.851946417217115,0.5392055893689759,6.8616884271359915,0.7042631111818339,-2.691963032731445,0,0.03125
field3_start,refit,wrong_cell,4,6,6.741618419824306,0.6994162462147177,9.534088201659806,0.8239001338567965,-3.083132467493366,0,0.03125
field3_start,refit,wrong_cell,6,6,8.189079548928689,0.7910111026454726,11.581107361447101,0.8624020416049532,-3.53685269801756,0,0.03125
field4_start,frozen_dense,real,1,6,3.5222828975592395,0.37901188225480215,4.981260244243079,0.4941827394006528,-0.7052888237626975,3,0.625
field4_start,frozen_dense,real,2,6,4.520945450441971,0.5131330491368251,6.393582370763977,0.7430682596676633,4.332524303819616,6,0.03125
field4_start,frozen_dense,real,4,6,6.069357563827282,0.6643012322418407,8.583367781656271,0.8569159218000156,7.200591133394586,6,0.03125
field4_start,frozen_dense,real,6,6,7.342528003539157,0.8101865472709069,10.38390268470932,0.8887415507895219,7.152602528990492,5,0.0625
field4_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field4_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field4_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field4_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field4_start,refit,real,1,6,3.496638611019917,0.3861429417659333,4.944993746421788,0.5014293190668876,0.06437514539986051,2,0.78125
field4_start,refit,real,2,6,4.39961009655896,0.5438518973668771,6.221988267707284,0.7567743917146821,6.982706210754387,6,0.03125
field4_start,refit,real,4,6,5.743471468538459,0.728397593492484,8.122495245910006,0.8720086038143114,12.308999648262256,6,0.03125
field4_start,refit,real,6,6,6.801419655545612,0.8287686039450632,9.618659920263546,0.9048589311210048,14.10491283990197,6,0.03125
field4_start,refit,stale_time,1,6,3.581809179648877,0.42331912546712946,5.065443119691892,0.4773557563361332,-2.296211834561591,0,0.03125
field4_start,refit,stale_time,2,6,4.791146005944405,0.4948702040257095,6.775703660916264,0.7113797636215229,-1.4734242131885436,1,0.0625
field4_start,refit,stale_time,4,6,6.105405400668174,0.6861139291636751,8.63434712141087,0.8554728834655935,6.701636636723584,6,0.03125
field4_start,refit,stale_time,6,6,7.1236476215439835,0.7875575731981413,10.074359079954343,0.8957342312703894,9.991487708999859,6,0.03125
field4_start,refit,wrong_cell,1,6,3.549464269655996,0.40069506900124874,5.019700509306223,0.48665696433518707,-1.4277542469853133,1,0.09375
field4_start,refit,wrong_cell,2,6,4.851858556488324,0.5374635147307734,6.861564173301734,0.7042668402030415,-2.6930501615709517,0,0.03125
field4_start,refit,wrong_cell,4,6,6.74128115319829,0.6958264565927689,9.53361123462316,0.8239120951995621,-3.0818732424053312,0,0.03125
field4_start,refit,wrong_cell,6,6,8.189471260439307,0.7866479731872867,11.581661325177954,0.8623832404340139,-3.5454341249189607,0,0.03125
