objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h1_strict,self_memory,stale_time,1,6,3.4906662546718756,0.4356357669308202,4.936547559075063,0.5038234149319026,-0.22759346504157177,2,-0.01462320498284364,-0.0011850660936612762,0.1875,0.921875,1.0
h1_strict,self_memory,stale_time,2,6,4.715060445466633,0.5288554872396724,6.668102429387839,0.7205019852671835,-0.4943347982419817,0,-0.03231175746577334,-0.0127104113959892,0.03125,1.0,1.0
h1_strict,self_memory,stale_time,4,6,6.238005143133413,0.7187846134171746,8.821871475572392,0.8491870889050052,3.8159517699185503,6,0.21120671173802177,0.28796669245394363,0.03125,0.015625,0.0625
h1_strict,self_memory,stale_time,6,6,7.395318231458739,0.8240850378948977,10.458559340993961,0.8878020683313624,5.440631084128531,6,0.36773955713258627,0.49514710594709993,0.03125,0.015625,0.0625
h1_strict,self_memory,wrong_cell,1,6,3.522089719271136,0.44561629456324425,4.980987048888087,0.49459823608868275,-1.1141222369014503,0,-0.05490475669930935,-0.024054819906791886,0.03125,1.0,1.0
h1_strict,self_memory,wrong_cell,2,6,4.699564520389813,0.5255133804763645,6.646187881982681,0.7223277307425571,-0.164924533532766,0,-0.009628589727895894,-0.004879431129993635,0.03125,1.0,1.0
h1_strict,self_memory,wrong_cell,4,6,6.475173664000299,0.6835872977481872,9.157278414350309,0.8373385158705174,0.07656001664923336,4,-0.004191093883209855,0.014187826667121595,0.4375,0.21875,0.65625
h1_strict,self_memory,wrong_cell,6,6,7.7881905692963365,0.7657213704801037,11.014164729445115,0.8754020234341325,0.3125444400237312,5,0.00302057625266805,0.045115948696871154,0.09375,0.046875,0.1875
h6_guard10,active_advective,real,1,6,3.8019370054480746,0.48606187976341847,5.376750876392819,0.4104857622921157,-9.162807107398159,0,-0.3863043555843995,-0.2464101900743326,0.03125,1.0,1.0
h6_guard10,active_advective,real,2,6,4.166918788768005,0.4950785688405934,5.8929130643829835,0.7818427660731452,11.243016286058358,6,0.5012045594533658,0.5528973211094792,0.03125,0.015625,0.0625
