source,annotation_kind,objective,method,control,horizon,fields,experiments,component_rmse,component_rmse_std,r2,cosine
manual,manual,baseline,reliability_mean,no_update,1,48,3,1.0840355420906997,0.36521300599955897,0.36933500419842863,0.8519573977610008
manual,manual,baseline,reliability_mean,no_update,2,48,3,1.298580909334851,0.3617472766693974,0.7178100679268228,0.8870025310756087
manual,manual,baseline,reliability_mean,no_update,4,48,3,1.4282529371408899,0.30884303218788445,0.8940382762316063,0.9262195169995525
manual,manual,baseline,reliability_mean,no_update,6,48,3,1.5005896076865461,0.298818441458631,0.9410509376406252,0.9472900468278725
manual,manual,baseline,validation_fixed_gain,validation_fixed_gain,1,48,3,1.0653152047973435,0.33807339110798545,0.3935938440498958,0.8321276754751525
manual,manual,baseline,validation_fixed_gain,validation_fixed_gain,2,48,3,1.4086951969898605,0.3672019641478448,0.6691954024213128,0.8605151087999964
manual,manual,baseline,validation_fixed_gain,validation_fixed_gain,4,48,3,1.5978275005675036,0.31926266333722286,0.868182721591729,0.9067473282272617
manual,manual,baseline,validation_fixed_gain,validation_fixed_gain,6,48,3,1.6802820711724271,0.3149057271022364,0.9265313675938809,0.9342541032797803
manual,manual,horizon_balanced,lit_cell_horizon_balanced,real,1,48,3,1.0858107161921893,0.36715867628197674,0.3662759029842484,0.8360104238300732
manual,manual,horizon_balanced,lit_cell_horizon_balanced,real,2,48,3,1.2490127663475656,0.3649962767087621,0.7376931921473062,0.8961557560597595
manual,manual,horizon_balanced,lit_cell_horizon_balanced,real,4,48,3,1.3057820597983678,0.3120947336740431,0.9104330206943193,0.9380153122215469
manual,manual,horizon_balanced,lit_cell_horizon_balanced,real,6,48,3,1.334695816462773,0.29742376880889737,0.9526880884639127,0.9554709647928133
