objective_name,method,horizon,family,movies,component_rmse_mean,joint_nll_mean,joint_nll_std,energy_score_mean,calibration_error_mean,marginal_coverage50_mean,marginal_coverage90_mean,conformal_radial_coverage50_mean,conformal_radial_coverage90_mean
h1_strict,legacy_dense,6,gaussian,6,6.7846380029687765,6.549982954343022,0.2288502337422294,5.713479690988053,0.05123927884204832,0.5282439417849036,0.8880889914468121,0.4986848065597303,0.8957923573656542
h1_strict,legacy_dense,6,student_t,6,6.7846380029687765,6.49275219458067,0.26401229145071997,5.677905883561924,0.05107528593525377,0.45983475460756323,0.8946083839019979,0.4986848065597303,0.8957923573656542
h1_strict,no_update,1,gaussian,6,3.4830137079750316,5.287227681397423,0.24989792922352647,2.8224216252968035,0.09119883019761144,0.6294068184335956,0.9348991582599542,0.4987169870400368,0.8934229716924252
h1_strict,no_update,1,student_t,6,3.4830137079750316,5.067102871625836,0.3358754881500534,2.775117075261143,0.04821119000942975,0.4982264034887805,0.903429510166358,0.4987169870400368,0.8934229716924252
h1_strict,no_update,6,gaussian,6,7.812040069703365,6.788482359419791,0.17062010817905005,6.581762322088657,0.03187544753309334,0.533744742942239,0.9051860503200649,0.49999906796312116,0.8973475871228714
h1_strict,no_update,6,student_t,6,7.812040069703365,6.796244550595881,0.175826713470619,6.58716424455065,0.034081973942880976,0.4802995770282632,0.9151293496362416,0.49999906796312116,0.8973475871228714
h6_guard10,active_advective,1,gaussian,6,3.8019370051483414,5.442926696273141,0.30059927774034334,3.0851248931854767,0.06534920616260363,0.5742066151824815,0.9153807966957416,0.4998565445844383,0.8924629787204066
h6_guard10,active_advective,1,student_t,6,3.8019370051483414,5.328761046245499,0.3632632740265837,3.0982727684502795,0.08727325238625482,0.4937850905516596,0.8951508351800016,0.4998565445844383,0.8924629787204066
h6_guard10,active_advective,6,gaussian,6,5.545008727506101,6.113546344303365,0.24033679216386436,4.537398503207362,0.05563569175347046,0.5547351387919814,0.8943103918940349,0.4987287165720515,0.8967324472765
h6_guard10,active_advective,6,student_t,6,5.545008727506101,5.994937003105741,0.25598610461412263,4.50165987143447,0.041271691628374484,0.49254126053924024,0.9034880441758375,0.4987287165720515,0.8967324472765
h6_guard10,forced_potential,1,gaussian,6,3.7897882905793048,5.439900023653748,0.3027777956504269,3.077522322745962,0.0663669731919171,0.5755858024968096,0.9156559297175003,0.5002263810018445,0.8922789889212828
h6_guard10,forced_potential,1,student_t,6,3.7897882905793048,5.323637948532813,0.366852752700423,3.0889563877609003,0.08879678995843819,0.4802727342789006,0.886847950091144,0.5002263810018445,0.8922789889212828
h6_guard10,forced_potential,6,gaussian,6,5.581477543025247,6.120213568608281,0.23898180564544366,4.561531916350359,0.05347419042601368,0.5508932079071737,0.8937157892705323,0.4985915595214803,0.8966040136792492
h6_guard10,forced_potential,6,student_t,6,5.581477543025247,6.006502203718594,0.2458493702787982,4.529591777187352,0.03881631025164375,0.48887339861753815,0.9021118427407201,0.4985915595214803,0.8966040136792492
h6_guard10,legacy_dense,1,gaussian,6,3.807964932142623,5.432855297443361,0.26018180135517055,3.0785713498118477,0.059586494906053965,0.572152364850964,0.9180802870994681,0.49957696158194836,0.8940494808366627
h6_guard10,legacy_dense,1,student_t,6,3.807964932142623,5.315330410509094,0.31728325326177476,3.087803293597986,0.08269324668081292,0.4762704149541927,0.8896796515052485,0.49957696158194836,0.8940494808366627
h6_guard10,legacy_dense,6,gaussian,6,5.500748632375726,6.109643876708129,0.2512305075685664,4.5213532442986875,0.05928806214902615,0.5538547087007696,0.8942435777190418,0.49894161046204827,0.8958598322419954
h6_guard10,legacy_dense,6,student_t,6,5.500748632375726,5.99067919195344,0.2726331501670736,4.4841273576107135,0.04252506862507597,0.4918032088626702,0.9040910156601111,0.49894161046204827,0.8958598322419954
h6_guard10,no_update,1,gaussian,6,3.4830137079750316,5.287227681397423,0.24989792922352647,2.8224216252968035,0.09119883019761144,0.6294068184335956,0.9348991582599542,0.4987169870400368,0.8934229716924252
h6_guard10,no_update,1,student_t,6,3.4830137079750316,5.067102871625836,0.3358754881500534,2.775117075261143,0.04821119000942975,0.4982264034887805,0.903429510166358,0.4987169870400368,0.8934229716924252
h6_guard10,no_update,6,gaussian,6,7.812040069703365,6.788482359419791,0.17062010817905005,6.581762322088657,0.03187544753309334,0.533744742942239,0.9051860503200649,0.49999906796312116,0.8973475871228714
h6_guard10,no_update,6,student_t,6,7.812040069703365,6.796244550595881,0.175826713470619,6.58716424455065,0.034081973942880976,0.4802995770282632,0.9151293496362416,0.49999906796312116,0.8973475871228714
