objective_name,variant,control,horizon,movies,component_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p
h1_strict,forced_potential,real,1,7,3.4159987550206465,0.4916593873427707,0.04683561712193783,3,-0.031075990461737417,0.04457076915371772,0.828125,0.4140625
h1_strict,forced_potential,real,2,7,4.1484336140208296,0.7729921742660008,5.102269289415391,7,0.21035429383864543,0.23284422945655386,0.015625,0.0078125
h1_strict,forced_potential,real,4,7,5.051164505813022,0.8985912612485931,9.858877529636354,7,0.5305169109264571,0.5694376452738276,0.015625,0.0078125
h1_strict,forced_potential,real,6,7,5.75869660902571,0.9321638765516153,11.362761674948649,7,0.7016422275222121,0.7680668197769362,0.015625,0.0078125
h1_strict,forced_potential,stale_time,1,7,3.5357051156520787,0.4545200157024194,-3.349102798842201,0,-0.14578037279750017,-0.09288379333751028,0.015625,1.0
h1_strict,forced_potential,stale_time,2,7,4.467914090981741,0.7367644538787957,-2.263511761602163,0,-0.12161746755966174,-0.06853802690316181,0.015625,1.0
h1_strict,forced_potential,stale_time,4,7,5.344066676336071,0.8864999680463234,4.6267783691589015,7,0.2371961948610965,0.27925824177352393,0.015625,0.0078125
h1_strict,forced_potential,stale_time,6,7,5.990392761974832,0.9266013970277676,7.788106541781693,7,0.4692084521074831,0.5387854583796272,0.015625,0.0078125
h1_strict,forced_potential,wrong_cell,1,7,3.397274014447468,0.4972518218365489,0.5927820627105674,4,-0.014267073616127357,0.06556044145563307,0.390625,0.1953125
h1_strict,forced_potential,wrong_cell,2,7,4.461621074896884,0.7375251532253919,-2.0888521786523975,0,-0.10068622825811734,-0.08270035564654814,0.015625,1.0
h1_strict,forced_potential,wrong_cell,4,7,5.729200900558526,0.8696102540197476,-2.2635044283284818,0,-0.1452112366753592,-0.11031926420550699,0.015625,1.0
h1_strict,forced_potential,wrong_cell,6,7,6.671824504134494,0.9089968326569885,-2.7085835612198177,0,-0.19923696503859376,-0.1555819363727479,0.015625,1.0
h6_guard10,active_advective,no_update,1,7,3.4203789387833106,0.48991344100311485,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,active_advective,no_update,2,7,4.3704799007272435,0.748103582534573,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,active_advective,no_update,4,7,5.60271543048183,0.8752971383007889,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,active_advective,no_update,6,7,6.4961001339053235,0.9137298694624304,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,active_advective,real,1,7,3.710089834548269,0.4002353914713113,-8.551367020001155,0,-0.3150669164151582,-0.2644676316367627,0.015625,1.0
h6_guard10,active_advective,real,2,7,4.001534777689858,0.7887844425352356,8.449069126791288,7,0.356918747218017,0.37976030784701226,0.015625,0.0078125
h6_guard10,active_advective,real,4,7,4.438627234872348,0.9216628687359771,20.784252203548025,7,1.1210910771638023,1.1963334204920606,0.015625,0.0078125
h6_guard10,active_advective,real,6,7,4.838073375973636,0.9520913997329269,25.522039978345965,7,1.5847509885538238,1.714190177370612,0.015625,0.0078125
h6_guard10,active_advective,stale_time,1,7,3.7527694652948287,0.38611650551107074,-9.777490636770509,0,-0.34570945115966434,-0.3174256742662563,0.015625,1.0
h6_guard10,active_advective,stale_time,2,7,4.930604077540573,0.6794435062243748,-12.865804168379466,0,-0.5857908245752191,-0.5311782741861809,0.015625,1.0
h6_guard10,active_advective,stale_time,4,7,5.225471743788689,0.8914833432534308,6.72362091478671,7,0.3423400410127321,0.40727074226116583,0.015625,0.0078125
h6_guard10,active_advective,stale_time,6,7,5.5261447240771515,0.937523779816167,14.917173726420277,7,0.9046350346119446,1.0271195872571532,0.015625,0.0078125
h6_guard10,active_advective,wrong_cell,1,7,3.6603136319036627,0.41630357902284626,-7.095832332714123,0,-0.2644036570837838,-0.21267542637963371,0.015625,1.0
h6_guard10,active_advective,wrong_cell,2,7,4.803252484720964,0.6958113150192359,-9.923772115741622,0,-0.4465985678830225,-0.4213294236031068,0.015625,1.0
h6_guard10,active_advective,wrong_cell,4,7,6.278552908623555,0.843391996925767,-12.070018682764141,0,-0.708193569936119,-0.6497663070028148,0.015625,1.0
h6_guard10,active_advective,wrong_cell,6,7,7.36533737041129,0.8890770207901266,-13.386701253943558,0,-0.9154799621010346,-0.8257280078827444,0.015625,1.0
h6_guard10,forced_potential,no_update,1,7,3.4203789387833106,0.48991344100311485,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,forced_potential,no_update,2,7,4.3704799007272435,0.748103582534573,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,forced_potential,no_update,4,7,5.60271543048183,0.8752971383007889,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,forced_potential,no_update,6,7,6.4961001339053235,0.9137298694624304,0.0,0,0.0,0.0,1.0,1.0
h6_guard10,forced_potential,real,1,7,3.716305814183386,0.39822762555264124,-8.732678367626962,0,-0.32122918454750815,-0.2710157498470692,0.015625,1.0
h6_guard10,forced_potential,real,2,7,4.00442143648162,0.7884793439011325,8.383262296751484,7,0.3540758270937153,0.3767549074711884,0.015625,0.0078125
h6_guard10,forced_potential,real,4,7,4.442847664200776,0.9215139816105365,20.709553800316254,7,1.117705567444927,1.1914985299154703,0.015625,0.0078125
h6_guard10,forced_potential,real,6,7,4.842376814211774,0.9520061405276874,25.456767894261397,7,1.5823638317899469,1.7084504018550208,0.015625,0.0078125
h6_guard10,forced_potential,stale_time,1,7,3.755042040882833,0.38537183645173795,-9.84332519143605,0,-0.3476685896242306,-0.3199243780667183,0.015625,1.0
h6_guard10,forced_potential,stale_time,2,7,4.934011691630446,0.6789999054073237,-12.94320211193829,0,-0.5888777802360983,-0.5349014518543713,0.015625,1.0
h6_guard10,forced_potential,stale_time,4,7,5.227817608621968,0.8913854774403619,6.682454490592365,7,0.34082093967662397,0.404036764638505,0.015625,0.0078125
h6_guard10,forced_potential,stale_time,6,7,5.528035814438899,0.9374808596425127,14.888916088173762,7,0.9040159795430042,1.0235828503649773,0.015625,0.0078125
h6_guard10,forced_potential,wrong_cell,1,7,3.662544682977842,0.415591830104927,-7.1605027830119425,0,-0.2665474428781534,-0.21540929177192117,0.015625,1.0
h6_guard10,forced_potential,wrong_cell,2,7,4.806518760447377,0.6953963323962243,-9.997761561310865,0,-0.4495905904311127,-0.42513813753721064,0.015625,1.0
h6_guard10,forced_potential,wrong_cell,4,7,6.283665997682367,0.8431361197588693,-12.160420547545845,0,-0.7127881223287913,-0.6547197690534489,0.015625,1.0
h6_guard10,forced_potential,wrong_cell,6,7,7.371760844389508,0.8888830110256322,-13.484582591079004,0,-0.9214530142205409,-0.831640973120642,0.015625,1.0
